customer_id,segment,clv,acquisition_channel,region,acquisition_date
12792,Corporate,8164.05,Trade Show,UK,2009-08-28
17913,Corporate,13568.87,Referral,UK,2009-09-02
13620,Retail,189.33,Partner,UK,2009-09-25
13376,Corporate,9264.93,Online,UK,2009-05-03
16388,Wholesale,1369.78,Online,Germany,2009-11-07
14449,Retail,563.69,Online,UK,2009-08-13
16554,Corporate,7110.58,Referral,UK,2009-09-16
15340,Retail,713.48,Online,Germany,2009-12-30
17571,Wholesale,2247.31,Referral,UK,2009-04-23
15786,Retail,544.31,Referral,,2009-09-19
15945,Retail,303.51,Trade Show,EIRE,2009-02-03
14112,Corporate,,Online,Other Europe,2009-07-17
17619,retail,,Referral,Germany,2009-12-27
16205,Retail,307.14,Online,,2009-10-27
12934,Wholesale,1141.16,Referral,Germany,2009-06-25
17898,Corporate,12177.03,Online,UK,2009-06-11
16575,Retail,396.11,Online,UK,2009-08-11
17104,Retail,826.4,Trade Show,UK,2009-10-17
12536,Wholesale,2851.01,Online,UK,2009-03-21
15311,Retail,604.45,Direct Sales,Germany,2009-10-16
15707,Retail,967.63,Trade Show,France,2009-01-25
18054,Retail,212.0,Direct Sales,France,2009-07-31
14289,corporate,4218.81,Referral,UK,2009-12-19
12611,Retail,884.4,Referral,UK,2009-07-08
17276,Corporate,6979.9,Trade Show,UK,2009-12-17
12569,corporate,11624.07,Online,UK,2009-05-13
17758,Retail,305.05,Partner,EIRE,2009-03-30
17100,Retail,950.05,Online,UK,2009-12-18
16228,Retail,794.31,Direct Sales,UK,2009-01-21
12983,Retail,191.82,Partner,UK,2009-08-14
17505,Corporate,10126.19,Trade Show,UK,2009-11-29
12939,Retail,1155.78,Trade Show,France,2009-05-13
12549,Corporate,13451.64,Online,UK,2009-05-31
16881,retail,,Online,,2009-08-20
16257,Corporate,9465.82,Online,UK,2009-11-22
16339,Retail,,Direct Sales,Germany,2009-09-13
14572,Corporate,2220.6,Direct Sales,France,2009-03-03
16364,Retail,1134.0,Online,France,2009-09-02
17706,Retail,1036.63,Trade Show,France,2009-08-16
17121,Retail,694.8,Online,Germany,2009-08-07
16034,Retail,768.41,Online,Germany,2009-02-11
14862,Corporate,12159.8,Online,UK,2009-06-02
13394,Corporate,2424.57,Referral,UK,2009-03-22
15908,Retail,104.01,Online,UK,2009-01-01
16540,Corporate,12930.21,Online,UK,2009-10-16
13674,Corporate,14985.76,Referral,UK,2009-03-14
18026,Corporate,5941.71,Direct Sales,France,2009-03-05
17452,Retail,110.75,Online,UK,2009-11-03
13491,Retail,599.03,Partner,UK,2009-12-19
17840,Retail,1135.65,Online,France,2009-08-28
13604,retail,704.7,Partner,France,2009-05-09
13304,Retail,706.48,Referral,UK,2009-02-06
13399,Retail,297.66,Online,UK,2009-03-21
16948,Wholesale,1359.79,Referral,Germany,2009-01-07
16307,Corporate,5409.57,Online,Germany,2009-04-29
12828,Retail,169.34,Direct Sales,UK,2009-07-13
17563,Retail,421.62,Referral,UK,2009-10-28
13700,Wholesale,1399.82,Direct Sales,UK,2009-03-04
16669,Wholesale,4067.54,Online,UK,2009-05-01
15840,Retail,179.38,Online,UK,2009-06-21
15738,Retail,688.4,Online,UK,2009-06-19
16831,Retail,1198.34,Trade Show,UK,2009-06-08
16088,Corporate,6739.36,Online,France,2009-03-29
14579,Corporate,2498.73,Trade Show,Netherlands,2009-10-15
17734,Retail,1080.19,Online,Other Europe,2009-11-04
17267,Corporate,7905.52,Referral,EIRE,2009-07-04
16036,Retail,221.79,Direct Sales,UK,2009-02-18
15991,Retail,302.3,Direct Sales,UK,2009-05-29
15022,Retail,627.24,Online,UK,2009-06-21
14262,Corporate,5580.81,Direct Sales,Other Europe,2009-02-21
17568,Retail,1019.39,Referral,Other Europe,2009-06-29
14647,Corporate,11974.03,Referral,UK,2009-05-25
15620,Retail,500.27,Partner,UK,2009-01-20
17903,Retail,,Online,UK,2009-08-25
14091,Corporate,8949.27,Online,UK,2009-07-20
13046,Corporate,10604.72,Online,UK,2009-04-23
15914,Corporate,,Referral,UK,2009-10-05
15281,RETAIL,241.85,Direct Sales,UK,2009-12-26
15006,Retail,100.46,Partner,Netherlands,2009-04-24
13711,Corporate,10187.67,Online,UK,2009-12-21
16302,Retail,877.49,Online,France,2009-09-25
12354,corporate,6231.54,Online,UK,2009-01-02
14285,Retail,263.07,Trade Show,Netherlands,2009-12-31
15855,Retail,935.47,Referral,UK,2009-09-09
12695,Retail,1047.12,Online,France,2009-02-16
14183,Retail,1094.3,Online,UK,2009-11-10
13261,Retail,859.72,Online,UK,2009-06-27
12646,Retail,895.99,Referral,UK,2009-08-28
14163,Retail,700.61,Referral,France,2009-03-14
13991,Retail,568.12,Online,France,2009-01-21
15886,Corporate,12046.92,Partner,,2009-05-31
14381,Corporate,14530.91,Referral,,2009-01-03
17617,Wholesale,4869.57,Referral,France,2009-05-12
12999,Retail,235.27,Direct Sales,,2009-04-11
15557,Retail,617.54,Online,UK,2009-02-08
15983,Retail,572.31,Referral,France,2009-12-31
12546,Wholesale,3721.05,Online,Germany,2009-02-19
17125,RETAIL,487.22,Referral,UK,2009-09-27
16101,retail,56.74,Referral,UK,2009-12-02
12433,Retail,354.54,Direct Sales,UK,2009-09-19
16256,Retail,226.42,Direct Sales,UK,2009-05-26
16184,RETAIL,221.98,Referral,UK,2009-02-01
18079,Retail,200.67,Referral,UK,2009-02-16
17961,Corporate,,Trade Show,UK,2009-06-06
14492,Retail,678.95,Direct Sales,France,2009-03-21
13201,Retail,,Online,UK,2009-03-27
12403,corporate,8392.59,Direct Sales,France,2009-01-06
18064,Retail,529.74,Partner,Other Europe,2009-01-31
16247,Retail,164.61,Online,Germany,2009-04-20
13214,Wholesale,3427.73,Partner,Germany,2009-06-07
12352,Retail,1121.7,Online,UK,2009-03-08
14618,Retail,478.56,Online,France,2009-10-04
14924,Retail,127.38,Online,EIRE,2009-12-20
13385,Retail,523.51,Trade Show,France,2009-02-15
13461,corporate,11193.97,Trade Show,France,2009-01-10
16127,Wholesale,1843.87,Online,UK,2009-06-30
14263,Retail,135.3,Direct Sales,France,2009-02-07
13581,Retail,667.99,Online,UK,2009-08-03
14348,Corporate,9718.18,Online,Netherlands,2009-10-04
15150,Corporate,7691.16,Online,UK,2009-12-20
16057,Retail,250.57,Referral,EIRE,2009-05-02
18185,retail,648.6,Direct Sales,UK,2009-02-21
13952,Corporate,3564.73,Direct Sales,UK,2009-03-28
17927,Retail,139.53,Online,UK,2009-03-30
15074,Wholesale,4673.34,Online,EIRE,2009-12-28
17234,Corporate,13097.19,Trade Show,UK,2009-10-01
14778,Retail,,Online,Germany,2009-11-01
15516,Retail,288.03,Referral,UK,2009-09-13
17557,Retail,511.68,Referral,EIRE,2009-05-03
15242,Retail,410.16,Direct Sales,UK,2009-03-27
15287,retail,501.83,Partner,UK,2009-05-15
16899,Retail,510.18,Online,,2009-05-18
17880,Retail,,Referral,UK,2009-11-19
16947,Corporate,2637.06,Direct Sales,,2009-02-15
17739,RETAIL,237.06,Trade Show,UK,2009-12-30
18234,Wholesale,3846.97,Online,UK,2009-12-15
17595,Wholesale,1411.64,Partner,Germany,2009-12-02
17672,Retail,290.46,Partner,UK,2009-10-18
16153,corporate,11893.08,Online,Germany,2009-01-18
17594,Corporate,9022.82,Trade Show,UK,2009-12-08
16107,Wholesale,3253.74,Referral,UK,2009-02-13
14441,retail,988.11,Online,UK,2009-10-02
13072,Retail,381.12,Online,UK,2009-05-18
17382,Retail,274.07,Direct Sales,UK,2009-06-04
12745,Retail,,Online,Germany,2009-09-06
15568,Retail,877.39,Online,UK,2009-12-30
17476,Corporate,,Online,EIRE,2009-12-16
16748,Retail,1132.7,Online,UK,2009-05-25
14819,Retail,483.97,Trade Show,UK,2009-12-14
17881,Retail,1088.56,Online,Germany,2009-08-12
12430,Wholesale,3138.75,Online,UK,2009-03-01
12533,Corporate,5942.72,Direct Sales,Other Europe,2009-01-06
12501,Retail,162.26,Direct Sales,UK,2009-05-02
16292,Retail,87.34,Partner,France,2009-11-29
16188,Wholesale,,Online,EIRE,2009-05-11
12528,Retail,1024.39,Trade Show,UK,2009-06-22
14624,Retail,107.87,Referral,UK,2009-06-20
17665,Retail,,Direct Sales,UK,2009-07-03
12398,Retail,371.93,Online,France,2009-02-14
16949,Retail,636.2,Online,UK,2009-04-17
17394,Retail,630.08,Direct Sales,Germany,2009-02-11
16753,Corporate,9278.61,Direct Sales,UK,2009-01-27
14739,Retail,976.5,Partner,Germany,2009-06-19
15674,retail,489.46,Direct Sales,UK,2009-11-23
13908,Corporate,11032.67,Referral,Netherlands,2009-04-14
13207,Wholesale,947.67,Partner,Germany,2009-07-08
12378,Retail,110.88,Online,UK,2009-06-30
17220,Corporate,13993.85,Referral,UK,2009-01-08
17409,Retail,303.75,Online,EIRE,2009-05-24
13846,Corporate,2581.99,Referral,UK,2009-01-05
13858,Retail,587.97,Online,UK,2009-07-26
13408,Corporate,13703.43,Online,UK,2009-07-16
16741,Wholesale,3521.73,Referral,Germany,2009-09-14
14247,Wholesale,,Online,UK,2009-10-10
12731,Wholesale,1004.82,Online,UK,2009-09-15
13503,Wholesale,3756.93,Direct Sales,UK,2009-12-19
15925,Retail,195.53,Direct Sales,France,2009-05-24
15364,Retail,360.47,Online,France,2009-01-13
13900,Retail,892.5,Direct Sales,UK,2009-04-06
16936,Corporate,8817.67,Direct Sales,UK,2009-10-28
15069,Retail,1108.13,Direct Sales,Netherlands,2009-09-26
17230,Corporate,2806.54,Online,EIRE,2009-08-06
17398,Wholesale,,Referral,EIRE,2009-06-14
16143,Wholesale,3887.11,Partner,UK,2009-08-10
16542,Corporate,5007.53,Partner,UK,2009-10-27
18037,Wholesale,4521.96,Online,France,2009-04-14
14226,Retail,716.0,Online,UK,2009-12-06
12967,Retail,,Direct Sales,EIRE,2009-05-19
15658,retail,962.89,Direct Sales,Germany,2009-01-30
17034,retail,418.65,Online,,2009-09-30
15057,Retail,,Online,UK,2009-09-03
13683,Retail,,Partner,UK,2009-06-10
14140,corporate,,Referral,Germany,2009-06-12
13263,Corporate,,Referral,Germany,2009-05-06
16684,Retail,142.21,Online,UK,2009-03-05
14787,Retail,,Online,UK,2009-01-22
14015,Retail,384.24,Partner,,2009-11-02
13715,Wholesale,,Partner,UK,2009-02-01
13696,Retail,1025.74,Partner,UK,2009-03-13
12525,Corporate,14297.02,Online,EIRE,2009-11-28
16160,Corporate,10789.84,Referral,UK,2009-05-02
14495,Retail,61.3,Online,UK,2009-09-12
16263,Corporate,4496.21,Online,UK,2009-07-26
16968,Wholesale,3749.09,Online,France,2009-07-24
14314,Wholesale,4416.68,Referral,UK,2009-04-16
18131,Retail,546.88,Referral,UK,2009-11-27
16663,RETAIL,649.58,Partner,UK,2009-03-07
13038,Retail,552.59,Direct Sales,UK,2009-06-30
13501,Corporate,3521.84,Online,UK,2009-10-10
13727,Corporate,7235.61,Online,Germany,2009-11-25
15677,Retail,474.37,Direct Sales,UK,2009-08-21
16957,Retail,184.41,Online,Other Europe,2009-05-02
13600,Corporate,10185.89,Direct Sales,UK,2009-06-08
15588,Retail,458.02,Trade Show,UK,2009-02-16
15212,Corporate,12015.35,Online,EIRE,2009-12-24
15961,RETAIL,722.47,Online,UK,2009-05-29
15873,Corporate,5256.28,Direct Sales,France,2009-12-20
17679,Retail,776.08,Direct Sales,Germany,2009-06-27
15487,Corporate,14319.92,Direct Sales,Netherlands,2009-10-19
14847,Wholesale,4690.01,Direct Sales,UK,2009-12-18
12806,Retail,1143.36,Online,UK,2009-01-11
13393,Retail,298.78,Online,UK,2009-06-27
18222,Corporate,7343.61,Direct Sales,France,2009-04-13
15017,Corporate,12826.13,Online,UK,2009-08-21
14045,Retail,413.52,Partner,UK,2009-04-20
12923,Corporate,14959.04,Partner,UK,2009-09-06
18238,Wholesale,4724.53,Online,UK,2009-04-27
14545,Retail,878.53,Direct Sales,UK,2009-05-14
14380,Wholesale,1421.43,Online,UK,2009-11-23
14772,Retail,881.0,Online,UK,2009-08-22
17704,Retail,295.8,Referral,UK,2009-07-12
14368,retail,922.16,Referral,UK,2009-07-19
13599,Retail,811.04,Online,UK,2009-03-09
12791,Retail,832.29,Partner,France,2009-05-28
16003,Corporate,2902.12,Online,UK,2009-06-17
13705,Wholesale,2221.73,Online,UK,2009-05-07
16092,Corporate,7727.84,Online,UK,2009-09-01
12364,Corporate,4658.56,Online,Netherlands,2009-07-06
13245,Retail,756.29,Online,UK,2009-06-25
15670,Wholesale,2066.98,Referral,Germany,2009-05-12
15646,Retail,841.34,Online,EIRE,2009-07-16
12444,Retail,982.0,Online,EIRE,2009-04-28
14995,Retail,1155.72,Partner,UK,2009-09-21
14611,Corporate,5361.24,Online,Germany,2009-12-21
12663,Corporate,14873.71,Referral,France,2009-07-13
12877,Wholesale,2176.94,Online,UK,2009-05-22
17499,Corporate,4389.57,Online,UK,2009-12-01
17915,Retail,247.43,Referral,UK,2009-11-21
13061,Retail,530.66,Direct Sales,UK,2009-04-06
14489,Wholesale,3205.64,Online,France,2009-08-20
13358,Retail,1193.43,Referral,UK,2009-08-30
16934,Retail,382.52,Direct Sales,UK,2009-11-22
16030,Retail,438.41,Online,UK,2009-01-27
12432,Retail,296.45,Direct Sales,France,2009-10-02
14249,Corporate,9906.75,Online,UK,2009-08-13
13430,Wholesale,3165.13,Online,Germany,2009-09-22
15289,Corporate,12287.04,Online,UK,2009-06-01
17302,Retail,,Online,France,2009-07-02
16424,Wholesale,4165.76,Partner,France,2009-04-09
14636,Corporate,14713.91,Trade Show,Netherlands,2009-06-26
14051,Corporate,10052.07,Trade Show,UK,2009-05-22
13194,Retail,506.76,Partner,,2009-09-14
15523,Retail,226.98,Referral,Germany,2009-05-09
16514,Corporate,5029.25,Online,EIRE,2009-11-18
16686,retail,1131.58,Referral,Netherlands,2009-01-06
14680,retail,,Online,UK,2009-02-04
12558,Retail,581.68,Trade Show,France,2009-09-05
13596,Wholesale,3118.48,Partner,UK,2009-12-11
15462,Retail,466.97,Referral,Germany,2009-02-19
16020,Retail,289.23,Referral,UK,2009-07-06
13366,Corporate,5331.31,Referral,Netherlands,2009-07-10
15890,Corporate,9537.03,Direct Sales,UK,2009-08-05
17243,Wholesale,2832.89,Direct Sales,Germany,2009-03-25
16243,Wholesale,3106.15,Online,UK,2009-12-23
16499,Corporate,4831.15,Online,,2009-10-09
17017,Retail,340.98,Direct Sales,France,2009-03-15
17463,Corporate,10035.34,Online,EIRE,2009-06-02
15268,Corporate,3409.2,Referral,Germany,2009-01-30
17321,Retail,630.88,Online,UK,2009-05-08
12634,Retail,341.18,Direct Sales,Other Europe,2009-02-09
18162,Retail,368.63,Referral,Germany,2009-07-07
12769,Corporate,6829.02,Direct Sales,Germany,2009-10-08
12538,Corporate,4581.06,Direct Sales,UK,2009-08-16
14594,Retail,791.58,Trade Show,UK,2009-12-18
14391,Retail,931.88,Referral,EIRE,2009-04-04
16216,retail,,Referral,France,2009-10-17
13490,Retail,136.57,Trade Show,UK,2009-11-05
17026,Retail,789.22,Trade Show,France,2009-04-04
13725,Corporate,9866.32,Referral,EIRE,2009-06-29
14965,Retail,908.05,Online,UK,2009-12-15
16148,Corporate,3610.0,Referral,UK,2009-11-23
15626,Retail,611.9,Partner,,2009-10-03
16087,Corporate,11350.19,Trade Show,UK,2009-12-11
16007,Retail,136.86,Referral,UK,2009-04-20
15207,Retail,405.77,Online,UK,2009-02-17
14042,Retail,851.58,Referral,UK,2009-11-09
15089,retail,1196.54,Online,UK,2009-01-23
18158,Corporate,,Partner,EIRE,2009-02-28
14531,Retail,664.14,Direct Sales,Germany,2009-10-02
15921,Retail,839.68,Online,UK,2009-09-24
16010,Retail,910.47,Partner,Germany,2009-11-24
14295,Wholesale,,Direct Sales,UK,2009-12-06
15565,Retail,1134.94,Online,UK,2009-08-17
17765,retail,232.3,Online,Germany,2009-07-25
12419,Corporate,5081.92,Direct Sales,UK,2009-03-22
17954,Retail,680.88,Referral,UK,2009-10-15
17384,corporate,8525.16,Partner,Other Europe,2009-08-17
17993,Wholesale,2781.99,Trade Show,Other Europe,2009-12-06
13480,Corporate,,Online,,2009-09-22
12440,Corporate,6580.25,Referral,Germany,2009-12-03
18259,Retail,,Online,EIRE,2009-05-29
16867,Retail,780.62,Trade Show,UK,2009-04-25
13340,RETAIL,845.39,Direct Sales,UK,2009-04-25
13658,RETAIL,,Direct Sales,UK,2009-08-17
12383,Retail,486.38,Referral,EIRE,2009-09-29
16335,Retail,390.2,Direct Sales,Netherlands,2009-10-19
17213,Retail,262.13,Online,France,2009-03-12
18066,retail,757.14,Online,UK,2009-10-07
14221,Wholesale,804.67,Referral,UK,2009-09-15
18279,Retail,1174.53,Online,EIRE,2009-01-07
13450,Retail,,Online,UK,2009-12-24
17087,Retail,529.77,Referral,Germany,2009-11-23
18194,Corporate,,Online,UK,2009-04-08
13125,Retail,355.43,Online,Netherlands,2009-12-28
13426,Corporate,4098.95,Direct Sales,UK,2009-08-22
13439,Retail,256.6,Online,France,2009-08-07
17629,corporate,13193.43,Direct Sales,UK,2009-10-11
17111,Corporate,8871.59,Online,Netherlands,2009-08-15
17011,Corporate,7971.47,Online,EIRE,2009-12-07
13524,Retail,322.84,Online,UK,2009-08-25
16827,Retail,677.61,Online,France,2009-01-01
14389,Wholesale,858.22,Referral,UK,2009-04-03
13632,Retail,460.04,Direct Sales,UK,2009-11-04
14932,Retail,1000.15,Trade Show,UK,2009-11-02
16236,Retail,572.21,Online,UK,2009-11-23
13582,retail,986.82,Direct Sales,EIRE,2009-05-28
14808,Wholesale,1198.51,Direct Sales,UK,2009-08-03
15758,Retail,231.98,Partner,UK,2009-12-27
15622,Corporate,12711.97,Direct Sales,EIRE,2009-08-02
13542,Corporate,14125.79,Referral,UK,2009-02-10
15398,Retail,894.66,Online,UK,2009-03-18
17127,Retail,1194.9,Referral,,2009-12-11
12560,Corporate,,Partner,UK,2009-08-21
13924,RETAIL,,Partner,UK,2009-06-23
17666,Wholesale,1101.29,Trade Show,UK,2009-12-18
13566,Corporate,5286.89,Direct Sales,UK,2009-01-11
12359,Retail,600.26,Partner,Netherlands,2009-04-28
14880,Retail,734.3,Direct Sales,UK,2009-05-01
14467,Retail,366.53,Referral,UK,2009-07-16
16843,Retail,739.19,Partner,Germany,2009-01-19
13926,Wholesale,2638.66,Online,Germany,2009-07-10
16430,Retail,1125.7,Direct Sales,UK,2009-10-02
16235,RETAIL,161.34,Referral,UK,2009-05-16
15094,RETAIL,922.82,Direct Sales,UK,2009-09-15
15794,Corporate,11882.09,Online,UK,2009-04-15
15230,Retail,1001.23,Partner,UK,2009-04-16
15116,corporate,4137.1,Direct Sales,UK,2009-02-24
13527,Wholesale,1962.37,Referral,France,2009-01-04
13380,Corporate,,Referral,France,2009-07-10
16648,Retail,944.6,Direct Sales,UK,2009-05-03
13955,Retail,479.65,Referral,UK,2009-12-18
13222,Wholesale,2754.17,Referral,UK,2009-10-19
17855,Corporate,5948.41,Referral,Germany,2009-04-30
14895,Retail,229.63,Online,Netherlands,2009-01-11
15895,Corporate,14080.39,Direct Sales,,2009-10-08
14480,Retail,525.54,Online,UK,2009-04-03
16197,Retail,639.25,Trade Show,UK,2009-09-22
14278,Retail,808.34,Partner,Germany,2009-06-21
14413,Retail,110.75,Referral,EIRE,2009-04-24
16708,Retail,179.08,Online,Germany,2009-12-01
13809,Wholesale,4738.36,Referral,EIRE,2009-05-25
17745,RETAIL,,Referral,UK,2009-01-03
17510,Corporate,10675.57,Online,UK,2009-01-03
15139,corporate,13671.35,Trade Show,UK,2009-12-24
13767,Wholesale,2322.75,Trade Show,UK,2009-06-03
16659,Wholesale,3549.41,Online,UK,2009-12-14
13555,Retail,656.73,Referral,UK,2009-06-02
14056,retail,636.18,Direct Sales,UK,2009-11-13
17549,retail,486.89,Trade Show,Germany,2009-01-08
14049,corporate,13008.21,Online,France,2009-05-20
14988,Retail,183.78,Online,UK,2009-08-13
16441,Retail,332.69,Direct Sales,UK,2009-07-21
15705,Corporate,13152.56,Direct Sales,France,2009-04-21
17401,Retail,1191.76,Online,,2009-03-02
18190,corporate,2560.3,Online,UK,2009-08-30
13949,retail,421.34,Partner,Germany,2009-04-15
17422,RETAIL,508.25,Trade Show,Other Europe,2009-02-22
17741,Retail,704.26,Online,UK,2009-05-21
14399,Corporate,8308.0,Referral,UK,2009-08-22
17459,Corporate,14338.46,Online,UK,2009-01-23
15304,Retail,255.67,Online,,2009-05-07
14519,Retail,1196.49,Trade Show,UK,2009-03-09
16675,Retail,375.07,Referral,UK,2009-04-08
17964,Wholesale,1233.22,Referral,UK,2009-06-23
17746,Corporate,13776.85,Referral,,2009-03-18
17931,Retail,471.68,Online,UK,2009-01-25
15548,Corporate,11626.62,Referral,EIRE,2009-11-21
13630,Retail,567.4,Referral,UK,2009-04-19
13877,Retail,97.72,Online,UK,2009-06-06
13021,Corporate,5699.04,Online,UK,2009-05-16
13424,Wholesale,1990.73,Trade Show,UK,2009-12-31
14952,Retail,,Partner,UK,2009-08-08
16115,retail,1092.65,Online,UK,2009-12-18
17559,retail,414.85,Trade Show,UK,2009-05-19
16465,Wholesale,3900.23,Partner,UK,2009-08-25
16103,Corporate,7028.49,Partner,UK,2009-11-13
14461,Retail,441.01,Referral,UK,2009-05-18
16524,Corporate,14680.33,Online,UK,2009-10-16
17592,Retail,993.8,Referral,UK,2009-01-16
17012,Retail,393.01,Direct Sales,EIRE,2009-06-12
16919,Wholesale,3610.02,Online,UK,2009-09-04
15587,Wholesale,4761.9,Direct Sales,EIRE,2009-02-23
15892,Corporate,11007.82,Online,UK,2009-12-25
14088,Retail,1181.14,Online,Germany,2009-10-18
17801,Corporate,3990.88,Online,France,2009-07-01
17642,Wholesale,3478.65,Online,UK,2009-03-15
17375,retail,621.74,Referral,UK,2009-12-08
17689,Wholesale,4538.93,Partner,EIRE,2009-08-19
14269,Retail,778.26,Direct Sales,UK,2009-02-20
13536,Corporate,4197.75,Online,UK,2009-03-05
12540,Wholesale,2400.0,Online,France,2009-10-24
14478,Retail,130.62,Partner,EIRE,2009-07-09
16958,Retail,813.29,Online,France,2009-12-12
17169,Corporate,2776.91,Online,UK,2009-08-06
17323,Corporate,4675.33,Direct Sales,UK,2009-09-27
18226,Retail,320.69,Direct Sales,UK,2009-01-01
15277,Retail,813.36,Referral,Netherlands,2009-12-24
12349,Retail,64.83,Online,UK,2009-05-13
15996,Retail,223.07,Online,UK,2009-11-05
15133,Wholesale,1764.81,Online,UK,2009-09-20
15897,Retail,632.79,Referral,,2009-04-14
16447,Retail,840.32,Referral,UK,2009-12-30
16506,Wholesale,3825.36,Direct Sales,France,2009-10-14
13215,retail,584.39,Partner,UK,2009-06-26
15447,retail,251.0,Online,UK,2009-09-30
17379,Retail,872.98,Online,France,2009-04-23
18287,Retail,829.05,Direct Sales,UK,2009-12-12
17333,Corporate,7302.5,Direct Sales,France,2009-08-27
16479,Retail,1038.62,Online,Other Europe,2009-05-06
15660,Corporate,14465.33,Referral,,2009-09-21
16530,Retail,753.04,Direct Sales,UK,2009-03-25
13467,RETAIL,792.07,Online,Germany,2009-12-17
17612,Retail,322.46,Online,France,2009-11-01
16838,Retail,561.42,Partner,UK,2009-08-27
14726,Retail,796.99,Direct Sales,Germany,2009-08-10
17203,Retail,961.02,Trade Show,Germany,2009-06-26
15762,Corporate,5999.52,Partner,UK,2009-10-24
13280,Retail,241.48,Online,Netherlands,2009-05-02
12473,Corporate,8250.22,Referral,UK,2009-10-16
17005,Corporate,,Online,UK,2009-07-09
13153,Corporate,4658.28,Direct Sales,UK,2009-05-31
17244,RETAIL,720.6,Direct Sales,UK,2009-09-02
13756,Retail,576.73,Referral,Netherlands,2009-09-05
13882,Wholesale,4993.37,Referral,UK,2009-04-13
14087,Retail,984.34,Direct Sales,UK,2009-12-08
12738,Retail,512.64,Trade Show,UK,2009-03-20
14942,Corporate,9931.4,Trade Show,UK,2009-02-12
13115,Corporate,12110.46,Trade Show,France,2009-03-03
13161,corporate,5635.76,Referral,EIRE,2009-09-13
14627,Corporate,3699.33,Online,UK,2009-08-21
14817,Retail,829.18,Direct Sales,France,2009-05-16
15906,Retail,1056.26,Direct Sales,UK,2009-07-22
13228,Retail,960.69,Direct Sales,,2009-11-22
18099,Corporate,,Direct Sales,Germany,2009-02-27
12647,retail,,Referral,UK,2009-11-06
18004,Wholesale,2458.96,Direct Sales,France,2009-08-10
16126,Retail,1119.96,Online,Netherlands,2009-03-03
16400,Retail,816.5,Direct Sales,UK,2009-01-18
13804,retail,299.34,Partner,Germany,2009-07-15
16882,Corporate,8768.52,Partner,France,2009-03-29
15298,Retail,461.86,Referral,UK,2009-06-18
16434,Retail,,Partner,UK,2009-11-01
13810,Retail,354.06,Direct Sales,UK,2009-01-15
17078,Retail,1000.74,Online,UK,2009-12-20
17460,Retail,607.77,Online,UK,2009-03-28
14013,Wholesale,2409.5,Trade Show,UK,2009-04-05
17204,Retail,688.59,Online,Other Europe,2009-07-18
