ticket_id,customer_id,location_id,ticket_date,issue_category,priority,resolution_days,sla_breached,csat_score,status
TKT-00032,15212,LOC_06,2011-01-22,Billing Issue,Medium,4.4,1.0,2,Resolved
TKT-00033,16512,LOC_04,2010-04-19,General Enquiry,Medium,,,,Resolved
TKT-00034,16544,LOC_08,2011-07-17,Account Access,High,3.0,1.0,,Resolved
TKT-00035,13246,LOC_08,2010-08-03,Delivery Delay,Medium,3.2,1.0,4,Resolved
TKT-00036,13303,LOC_03,2010-09-14,Account Access,Medium,4.7,1.0,2,Escalated
TKT-00037,16941,LOC_03,2010-02-18,General Enquiry,Medium,1.2,0.0,,Resolved
TKT-00038,17507,LOC_03,2011-10-02,billing issue,Critical,6.1,1.0,2,Resolved
TKT-00039,12687,LOC_01,2011-01-16,General Enquiry,Medium,1.5,0.0,3,Resolved
TKT-00040,16852,LOC_03,2011-11-14,Late Delivery,Low,11.6,1.0,,Resolved
TKT-00041,12373,LOC_07,2011-05-05,Billing Issue,Critical,7.5,1.0,3,Resolved
TKT-00042,13904,LOC_07,2011-03-14,billing issue,Medium,11.3,1.0,2,Open
TKT-00043,17482,LOC_07,2011-09-01,General Enquiry,Medium,3.2,1.0,4,Resolved
TKT-00044,18173,LOC_01,2010-09-17,General Enquiry,Medium,1.9,0.0,4,Resolved
TKT-00045,13593,LOC_07,2011-12-18,General Enquiry,Low,4.0,1.0,,Resolved
TKT-00046,12748,LOC_04,2010-10-08,Product Defect,High,,,,Resolved
TKT-00047,13845,LOC_02,2011-03-18,General Enquiry,Medium,2.4,1.0,3,Resolved
TKT-00048,17231,LOC_04,2011-09-08,Product Defect,Critical,7.5,1.0,3,Resolved
TKT-00049,14249,LOC_07,2011-12-13,billing issue,Low,6.2,1.0,2,Resolved
TKT-00050,14767,LOC_03,2010-09-11,delivery delay,Medium,5.8,1.0,,Resolved
TKT-00051,16247,LOC_08,2010-02-03,General Enquiry,Medium,1.2,0.0,4,Resolved
TKT-00052,16386,LOC_05,2011-12-12,Refund Request,High,6.1,1.0,3,Resolved
TKT-00053,14582,LOC_04,2011-03-04,delivery delay,Low,4.3,1.0,4,Resolved
TKT-00054,18071,LOC_03,2011-11-08,Refund Request,High,10.4,1.0,3,Resolved
TKT-00055,17245,LOC_01,2011-07-14,Product Defect,Medium,3.4,1.0,2,Resolved
TKT-00056,14303,LOC_05,2011-09-19,Billing Issue,Medium,4.6,1.0,4,Resolved
TKT-00057,13792,LOC_05,2010-05-06,Delivery Delay,High,2.7,1.0,2,Resolved
TKT-00058,15930,LOC_04,2011-09-12,Billing Issue,Medium,9.8,1.0,3,Resolved
TKT-00059,14977,LOC_04,2011-04-26,Delivery Delay,High,2.1,1.0,3,Escalated
TKT-00060,17604,LOC_07,2010-08-08,Account Access,Medium,3.6,1.0,4,Resolved
TKT-00061,14158,LOC_03,2010-01-24,Billing,Low,6.6,1.0,2,Resolved
TKT-00062,16376,LOC_05,2011-11-05,Defective Product,Low,5.1,1.0,,Resolved
TKT-00063,17314,LOC_06,2010-09-19,Account Access,Medium,2.3,1.0,3,Resolved
TKT-00064,14108,LOC_02,2011-12-14,Refund Request,Medium,7.7,1.0,,Resolved
TKT-00065,18021,LOC_08,2010-03-24,Billing Issue,Low,9.2,1.0,,Resolved
TKT-00066,17172,LOC_07,2011-07-01,Late Delivery,High,7.3,1.0,3,Resolved
TKT-00067,13827,LOC_01,2010-12-15,Product Defect,Low,7.9,1.0,1,Resolved
TKT-00068,17582,LOC_07,2010-09-24,delivery delay,Medium,5.3,1.0,2,Open
TKT-00069,17642,LOC_08,2010-10-09,Refund Request,Low,6.8,1.0,2,Resolved
TKT-00070,15218,LOC_07,2011-05-16,Defective Product,Low,5.8,1.0,2,Resolved
TKT-00071,15996,LOC_03,2010-05-26,Billing,Medium,15.1,1.0,1,Resolved
TKT-00072,14539,LOC_08,2011-12-18,Account Access,Critical,1.1,0.0,4,Open
TKT-00073,12593,LOC_01,2010-09-27,Billing,Low,4.3,1.0,2,Resolved
TKT-00074,16978,LOC_04,2011-04-09,Product Defect,Low,4.2,1.0,2,Escalated
TKT-00075,15865,LOC_02,2010-03-06,Account Access,High,3.5,1.0,3,Resolved
TKT-00076,15005,LOC_03,2010-09-05,refund,Medium,15.1,1.0,1,Resolved
TKT-00077,17461,LOC_08,2010-04-26,Product Defect,Medium,7.0,1.0,1,Resolved
TKT-00078,13750,LOC_07,2010-04-05,Login Issue,High,3.9,1.0,2,Resolved
TKT-00079,13948,LOC_07,2010-06-06,Account Access,High,3.3,1.0,3,Resolved
TKT-00080,12591,LOC_03,2011-08-17,Late Delivery,High,5.6,1.0,3,Escalated
TKT-00081,16041,LOC_08,2010-11-07,General Enquiry,Medium,0.7,0.0,5,Resolved
TKT-00082,16088,LOC_03,2010-05-10,billing issue,Medium,14.3,1.0,,Resolved
TKT-00083,15055,LOC_01,2011-02-13,Late Delivery,Critical,3.0,1.0,2,Resolved
TKT-00084,15914,LOC_05,2010-07-17,refund,High,8.8,1.0,2,Resolved
TKT-00085,14179,LOC_03,2011-09-24,General Enquiry,Medium,,,,Resolved
TKT-00086,14604,LOC_02,2010-10-05,delivery delay,Low,2.5,1.0,4,Resolved
TKT-00087,14233,LOC_08,2010-09-09,Refund Request,Critical,8.8,1.0,2,Escalated
TKT-00088,15767,LOC_05,2011-03-06,Billing Issue,Low,7.5,1.0,1,Resolved
TKT-00089,16118,LOC_08,2011-10-27,Late Delivery,Medium,4.4,1.0,3,Resolved
TKT-00090,16720,LOC_05,2010-06-23,delivery delay,Low,6.7,1.0,3,Resolved
TKT-00091,15662,LOC_01,2010-12-08,Login Issue,Low,1.7,0.0,5,Resolved
TKT-00092,16166,LOC_01,2011-08-21,Billing Issue,High,4.4,1.0,3,Resolved
TKT-00093,13174,LOC_08,2010-03-23,Billing Issue,Low,6.4,1.0,,Resolved
TKT-00094,15362,LOC_01,2011-06-07,Product Defect,Low,5.6,1.0,3,Resolved
TKT-00095,15077,LOC_05,2011-12-18,Product Defect,Low,7.5,1.0,3,Escalated
TKT-00096,12866,LOC_03,2010-12-10,Billing,Medium,13.6,1.0,3,Escalated
TKT-00097,17354,LOC_06,2010-05-01,Delivery Delay,Medium,5.0,1.0,,Resolved
TKT-00098,17409,LOC_03,2011-11-15,General Enquiry,Medium,3.9,1.0,3,Resolved
TKT-00099,16139,LOC_01,2010-03-15,Defective Product,High,5.1,1.0,3,Resolved
TKT-00100,16408,LOC_07,2011-09-27,Billing Issue,High,12.0,1.0,,Open
TKT-00101,15681,LOC_03,2011-05-05,Billing Issue,Low,10.9,1.0,1,Escalated
TKT-00102,15916,LOC_05,2011-07-24,Billing Issue,Medium,9.1,1.0,1,Resolved
TKT-00103,14786,LOC_07,2011-10-26,Late Delivery,Medium,10.3,1.0,1,Resolved
TKT-00104,15035,LOC_06,2011-12-21,General Enquiry,Low,1.3,0.0,5,Resolved
TKT-00105,12625,LOC_03,2011-10-22,Login Issue,Medium,2.9,1.0,,Resolved
TKT-00106,15511,LOC_07,2010-05-12,Late Delivery,Low,8.1,1.0,2,Resolved
TKT-00107,16472,LOC_08,2011-06-03,Login Issue,Low,1.8,0.0,4,Open
TKT-00108,16633,LOC_05,2011-12-11,Account Access,Medium,1.7,0.0,4,Resolved
TKT-00109,16543,LOC_06,2011-02-27,Defective Product,Low,7.9,1.0,3,Open
TKT-00110,18121,LOC_07,2010-03-16,Product Defect,Low,12.5,1.0,1,Escalated
TKT-00111,14210,LOC_07,2011-12-13,Billing,Low,8.7,1.0,1,Resolved
TKT-00112,12750,LOC_03,2010-07-12,Delivery Delay,Low,5.0,1.0,2,Resolved
TKT-00113,17481,LOC_08,2011-07-04,delivery delay,Low,2.7,1.0,,Resolved
TKT-00114,16053,LOC_01,2011-06-09,Login Issue,Medium,,,,Escalated
TKT-00115,14727,LOC_08,2010-04-10,Refund Request,Low,5.4,1.0,3,Resolved
TKT-00116,15679,LOC_02,2010-10-24,Delivery Delay,High,3.4,1.0,3,Resolved
TKT-00117,17752,LOC_03,2010-03-19,Billing Issue,High,13.1,1.0,1,Open
TKT-00118,15052,LOC_07,2011-11-21,Defective Product,Medium,6.3,1.0,2,Resolved
TKT-00119,17970,LOC_02,2010-02-02,refund,Low,4.2,1.0,2,Resolved
TKT-00120,15067,LOC_02,2011-07-03,Login Issue,High,2.6,1.0,,Resolved
TKT-00121,14292,LOC_05,2011-08-07,Login Issue,Medium,4.8,1.0,,Open
TKT-00122,15848,LOC_06,2010-11-05,Login Issue,Low,2.6,1.0,3,Resolved
TKT-00123,14008,LOC_01,2010-07-02,Product Defect,High,4.2,1.0,4,Open
TKT-00124,12958,LOC_04,2011-06-13,General Enquiry,Medium,,,,Open
TKT-00125,17792,LOC_04,2011-09-14,Product Defect,Medium,6.0,1.0,2,Resolved
TKT-00126,14288,LOC_03,2010-12-12,Billing,High,10.5,1.0,2,Resolved
TKT-00127,14017,LOC_04,2011-06-07,Late Delivery,Low,2.9,1.0,2,Resolved
TKT-00128,14519,LOC_02,2010-09-13,delivery delay,Low,5.3,1.0,,Open
TKT-00129,16060,LOC_03,2011-08-26,Late Delivery,Critical,9.2,1.0,2,Resolved
TKT-00130,13628,LOC_06,2011-05-19,refund,High,5.1,1.0,1,Resolved
TKT-00131,13823,LOC_07,2010-06-19,refund,Low,6.9,1.0,1,Resolved
TKT-00132,17093,LOC_05,2010-08-02,Delivery Delay,Medium,4.3,1.0,2,Resolved
TKT-00133,15535,LOC_01,2011-12-24,delivery delay,Low,3.3,1.0,4,Escalated
TKT-00134,13987,LOC_06,2011-11-20,Refund Request,High,3.8,1.0,2,Resolved
TKT-00135,15692,LOC_07,2010-11-14,Billing Issue,Medium,9.9,1.0,,Resolved
TKT-00136,17264,LOC_04,2011-02-20,refund,High,8.7,1.0,2,Resolved
TKT-00137,16220,LOC_04,2010-11-07,Billing,Critical,4.8,1.0,3,Resolved
TKT-00138,15569,LOC_08,2011-02-10,General Enquiry,Critical,0.5,0.0,5,Resolved
TKT-00139,14288,LOC_05,2010-04-21,Product Defect,Low,6.6,1.0,1,Escalated
TKT-00140,18237,LOC_07,2010-06-20,Delivery Delay,Critical,10.6,1.0,3,Resolved
TKT-00141,15288,LOC_05,2010-10-16,refund,Low,,,,Resolved
TKT-00142,17102,LOC_02,2010-09-21,Refund Request,Medium,8.4,1.0,,Resolved
TKT-00143,17517,LOC_03,2010-09-10,Billing,Low,,,,Resolved
TKT-00144,13463,LOC_06,2010-11-11,Login Issue,Medium,2.4,1.0,3,Resolved
TKT-00145,16476,LOC_04,2011-01-01,Product Defect,Medium,6.9,1.0,3,Resolved
TKT-00146,12699,LOC_03,2010-03-15,Billing,High,12.5,1.0,,Resolved
TKT-00147,16296,LOC_01,2011-05-27,Login Issue,Critical,4.5,1.0,3,Resolved
TKT-00148,15826,LOC_07,2011-04-06,billing issue,Medium,7.2,1.0,1,Resolved
TKT-00149,15291,LOC_07,2011-10-22,General Enquiry,Medium,,,,Resolved
TKT-00150,16848,LOC_04,2010-12-21,Product Defect,Medium,5.7,1.0,,Resolved
TKT-00151,17117,LOC_06,2011-01-17,Account Access,Medium,2.9,1.0,3,Open
TKT-00152,18014,LOC_02,2010-06-11,Product Defect,Medium,5.0,1.0,2,Resolved
TKT-00153,12870,LOC_04,2011-01-20,Billing,Critical,5.2,1.0,3,Resolved
TKT-00154,12445,LOC_03,2011-09-25,Account Access,Low,3.0,1.0,,Resolved
TKT-00155,16487,LOC_06,2011-12-22,Delivery Delay,High,3.0,1.0,4,Open
TKT-00156,14413,LOC_04,2010-10-19,refund,Low,5.4,1.0,1,Resolved
TKT-00157,16038,LOC_04,2010-08-26,Delivery Delay,Medium,5.8,1.0,2,Resolved
TKT-00158,12861,LOC_03,2010-10-24,Delivery Delay,High,10.1,1.0,,Escalated
TKT-00159,15812,LOC_01,2010-04-14,Product Defect,Medium,4.0,1.0,3,Resolved
TKT-00160,17448,LOC_08,2010-12-13,Login Issue,High,1.3,0.0,5,Open
TKT-00161,15542,LOC_01,2011-05-27,Refund Request,Medium,8.2,1.0,1,Resolved
TKT-00162,16575,LOC_03,2010-10-27,Billing Issue,High,8.8,1.0,1,Resolved
TKT-00163,16210,LOC_03,2011-05-11,Account Access,High,4.1,1.0,,Resolved
TKT-00164,16803,LOC_03,2011-11-14,Refund Request,Low,12.6,1.0,1,Resolved
TKT-00165,13897,LOC_05,2011-06-11,Refund Request,Critical,5.4,1.0,3,Resolved
TKT-00166,15491,LOC_04,2011-05-02,Late Delivery,Low,4.8,1.0,2,Resolved
TKT-00167,18117,LOC_02,2010-12-16,Refund Request,Medium,3.1,1.0,2,Resolved
TKT-00168,14688,LOC_01,2011-10-08,Late Delivery,Critical,,,,Resolved
TKT-00169,17494,LOC_01,2010-07-23,Billing Issue,Low,5.9,1.0,,Resolved
TKT-00170,18253,LOC_04,2011-12-18,Login Issue,Medium,2.6,1.0,4,Resolved
TKT-00171,13528,LOC_07,2011-05-05,refund,Low,6.5,1.0,3,Escalated
TKT-00172,13986,LOC_01,2010-12-10,refund,Low,5.9,1.0,1,Resolved
TKT-00173,17861,LOC_06,2011-03-16,Billing,Low,9.7,1.0,1,Open
TKT-00174,12452,LOC_07,2010-01-25,refund,Critical,5.4,1.0,3,Resolved
TKT-00175,16763,LOC_03,2010-09-25,Delivery Delay,Medium,3.8,1.0,3,Resolved
TKT-00176,12812,LOC_06,2011-09-04,refund,Low,4.4,1.0,3,Resolved
TKT-00177,14444,LOC_06,2010-01-27,delivery delay,Critical,6.1,1.0,2,Open
TKT-00178,17748,LOC_06,2011-03-26,Billing,Medium,8.7,1.0,2,Escalated
TKT-00179,17900,LOC_07,2010-05-23,General Enquiry,High,3.3,1.0,3,Resolved
TKT-00180,17325,LOC_03,2010-02-13,billing issue,Medium,11.2,1.0,3,Escalated
TKT-00181,13448,LOC_02,2011-11-19,Account Access,Medium,3.1,1.0,,Resolved
TKT-00182,14285,LOC_04,2011-02-13,billing issue,Low,6.1,1.0,1,Resolved
TKT-00183,18128,LOC_01,2010-05-23,refund,Medium,4.1,1.0,,Open
TKT-00184,14384,LOC_03,2010-05-21,billing issue,Critical,10.7,1.0,1,Escalated
TKT-00185,13416,LOC_07,2010-05-11,Defective Product,Low,6.9,1.0,2,Resolved
TKT-00186,16928,LOC_04,2011-02-25,Billing,Medium,5.1,1.0,1,Resolved
TKT-00187,15157,LOC_03,2011-04-11,General Enquiry,Critical,,,,Open
TKT-00188,13530,LOC_02,2010-12-23,Product Defect,Low,5.5,1.0,2,Resolved
TKT-00189,15629,LOC_02,2011-11-08,Billing Issue,Low,5.6,1.0,2,Resolved
TKT-00190,17313,LOC_02,2011-07-06,Refund Request,Low,4.6,1.0,3,Escalated
TKT-00191,15012,LOC_07,2011-01-14,Product Defect,Low,8.1,1.0,3,Resolved
TKT-00192,16333,LOC_08,2011-09-14,General Enquiry,Medium,2.9,1.0,3,Resolved
TKT-00193,16533,LOC_04,2011-02-01,Product Defect,Low,4.2,1.0,,Escalated
TKT-00194,14145,LOC_01,2011-07-26,Product Defect,Low,4.6,1.0,4,Resolved
TKT-00195,14405,LOC_07,2010-11-19,Product Defect,High,7.8,1.0,1,Resolved
TKT-00196,17899,LOC_07,2010-11-07,General Enquiry,High,4.2,1.0,3,Resolved
TKT-00197,12727,LOC_08,2011-11-16,Refund Request,Medium,5.5,1.0,1,Resolved
TKT-00198,17394,LOC_05,2010-03-04,refund,Medium,4.4,1.0,3,Resolved
TKT-00199,14572,LOC_04,2010-05-25,Account Access,Critical,1.5,0.0,,Open
TKT-00200,17685,LOC_05,2010-04-12,General Enquiry,Critical,1.3,0.0,4,Resolved
TKT-00201,17168,LOC_01,2010-12-09,Login Issue,Critical,4.1,1.0,2,Resolved
TKT-00202,16720,LOC_06,2011-07-25,General Enquiry,Critical,1.2,0.0,4,Resolved
TKT-00203,14645,LOC_06,2010-12-25,delivery delay,Medium,3.6,1.0,3,Resolved
TKT-00204,13493,LOC_06,2010-03-04,Delivery Delay,Medium,6.3,1.0,1,Open
TKT-00205,13835,LOC_05,2010-12-11,Delivery Delay,Critical,2.0,0.0,5,Resolved
TKT-00206,15662,LOC_06,2010-12-13,General Enquiry,High,0.6,0.0,4,Open
TKT-00207,15799,LOC_05,2010-10-09,Login Issue,High,4.3,1.0,2,Resolved
TKT-00208,14058,LOC_01,2010-05-23,refund,High,8.3,1.0,3,Open
TKT-00209,17278,LOC_07,2010-08-25,Billing Issue,Medium,7.7,1.0,1,Resolved
TKT-00210,18167,LOC_05,2011-11-05,delivery delay,Medium,6.3,1.0,2,Resolved
TKT-00211,17350,LOC_06,2011-03-03,Account Access,Medium,2.0,0.0,4,Resolved
TKT-00212,15795,LOC_03,2011-11-07,Delivery Delay,Low,9.5,1.0,3,Resolved
TKT-00213,15283,LOC_08,2010-06-25,Refund Request,Medium,8.6,1.0,1,Escalated
TKT-00214,15016,LOC_04,2011-02-08,Refund Request,Medium,8.5,1.0,2,Resolved
TKT-00215,14376,LOC_06,2011-09-26,Delivery Delay,High,4.5,1.0,2,Resolved
TKT-00216,18145,LOC_08,2011-12-21,General Enquiry,Medium,2.8,1.0,4,Resolved
TKT-00217,15511,LOC_08,2010-11-13,Delivery Delay,High,4.1,1.0,3,Escalated
TKT-00218,16376,LOC_05,2011-11-17,General Enquiry,Medium,2.9,1.0,2,Resolved
TKT-00219,14344,LOC_02,2010-09-07,Refund Request,Critical,,,,Resolved
TKT-00220,17738,LOC_08,2011-10-08,Billing Issue,Low,4.7,1.0,2,Resolved
TKT-00221,17547,LOC_08,2010-03-22,Login Issue,Medium,1.4,0.0,,Resolved
TKT-00222,13178,LOC_01,2011-08-19,Login Issue,Medium,4.7,1.0,,Resolved
TKT-00223,13410,LOC_04,2011-05-26,Login Issue,Low,2.9,1.0,4,Open
TKT-00224,15637,LOC_04,2011-11-19,refund,Low,5.2,1.0,1,Resolved
TKT-00225,15168,LOC_01,2010-12-17,Account Access,Medium,3.7,1.0,3,Resolved
TKT-00226,13740,LOC_02,2010-05-06,General Enquiry,Medium,2.5,1.0,3,Resolved
TKT-00227,18164,LOC_04,2011-08-08,billing issue,Critical,8.2,1.0,,Resolved
TKT-00228,17677,LOC_08,2010-03-02,Billing Issue,High,4.9,1.0,2,Resolved
TKT-00229,15719,LOC_01,2011-01-06,billing issue,Medium,9.2,1.0,,Open
TKT-00230,13869,LOC_08,2010-12-26,General Enquiry,Medium,2.6,1.0,3,Resolved
TKT-00231,16865,LOC_07,2010-01-26,Refund Request,Low,8.6,1.0,3,Resolved
TKT-00232,13382,LOC_07,2010-10-15,Billing,Medium,,,,Escalated
TKT-00233,12774,LOC_03,2011-05-12,billing issue,Medium,14.4,1.0,3,Resolved
TKT-00234,17527,LOC_04,2010-08-18,Product Defect,Low,6.7,1.0,2,Escalated
TKT-00235,15468,LOC_03,2011-11-11,Login Issue,Medium,3.1,1.0,,Open
TKT-00236,15182,LOC_08,2011-11-09,Login Issue,Medium,1.0,0.0,5,Escalated
TKT-00237,12588,LOC_04,2010-01-13,General Enquiry,Medium,0.5,0.0,5,Resolved
TKT-00238,13347,LOC_01,2011-11-03,Account Access,High,3.6,1.0,3,Resolved
TKT-00239,14203,LOC_03,2011-05-15,Billing Issue,Medium,12.5,1.0,2,Escalated
TKT-00240,17126,LOC_04,2011-07-25,Account Access,Low,2.2,1.0,,Resolved
TKT-00241,12801,LOC_08,2010-03-13,Defective Product,Low,3.3,1.0,2,Resolved
TKT-00242,16673,LOC_05,2010-10-18,Account Access,High,2.4,1.0,3,Escalated
TKT-00243,17016,LOC_06,2010-04-19,Defective Product,Low,7.6,1.0,1,Resolved
TKT-00244,18203,LOC_01,2011-06-22,Defective Product,High,,,,Resolved
TKT-00245,15241,LOC_07,2011-08-05,billing issue,Medium,10.0,1.0,3,Resolved
TKT-00246,13574,LOC_04,2011-07-19,General Enquiry,High,2.0,0.0,4,Resolved
TKT-00247,18092,LOC_08,2011-03-04,Late Delivery,Medium,,,,Open
TKT-00248,16190,LOC_03,2011-01-12,Refund Request,Low,13.2,1.0,3,Resolved
TKT-00249,13719,LOC_06,2010-08-03,Delivery Delay,High,4.5,1.0,2,Open
TKT-00250,16598,LOC_04,2011-12-13,Late Delivery,Low,4.2,1.0,3,Resolved
TKT-00251,16162,LOC_01,2010-05-25,General Enquiry,Low,1.2,0.0,,Resolved
TKT-00252,14597,LOC_03,2010-11-09,Delivery Delay,Low,4.2,1.0,4,Resolved
TKT-00253,16648,LOC_01,2010-03-01,Delivery Delay,Medium,6.2,1.0,3,Resolved
TKT-00254,14215,LOC_03,2010-08-17,Delivery Delay,Low,4.9,1.0,4,Resolved
TKT-00255,14771,LOC_05,2011-04-11,Refund Request,Critical,5.1,1.0,1,Resolved
TKT-00256,13231,LOC_02,2010-11-01,Defective Product,Low,,,,Resolved
TKT-00257,14150,LOC_04,2010-04-08,Billing,High,4.1,1.0,3,Open
TKT-00258,16051,LOC_04,2011-11-04,refund,Medium,,,,Resolved
TKT-00259,17329,LOC_04,2010-12-23,General Enquiry,High,2.7,1.0,3,Resolved
TKT-00260,15851,LOC_02,2011-05-22,Billing,High,4.9,1.0,4,Escalated
TKT-00261,17532,LOC_04,2011-02-18,refund,Low,8.8,1.0,3,Resolved
TKT-00262,13599,LOC_03,2011-07-26,Refund Request,Medium,10.8,1.0,2,Resolved
TKT-00263,16432,LOC_03,2011-02-20,delivery delay,Medium,3.7,1.0,3,Resolved
TKT-00264,17259,LOC_05,2011-07-06,Refund Request,High,6.7,1.0,2,Resolved
TKT-00265,14520,LOC_01,2011-06-04,Delivery Delay,High,4.6,1.0,4,Resolved
TKT-00266,16262,LOC_08,2011-07-04,Login Issue,Low,2.9,1.0,3,Resolved
TKT-00267,16886,LOC_08,2011-07-03,Billing Issue,Medium,6.2,1.0,3,Resolved
TKT-00268,14153,LOC_06,2010-08-19,Refund Request,Medium,7.0,1.0,,Escalated
TKT-00269,12409,LOC_03,2011-07-06,delivery delay,Medium,4.2,1.0,2,Resolved
TKT-00270,17737,LOC_05,2010-09-02,General Enquiry,Low,0.8,0.0,5,Resolved
TKT-00271,15845,LOC_05,2011-09-09,Defective Product,Low,5.4,1.0,,Resolved
TKT-00272,16084,LOC_03,2011-11-19,Login Issue,High,,,,Resolved
TKT-00273,15072,LOC_03,2010-10-23,General Enquiry,Low,3.1,1.0,3,Resolved
TKT-00274,17546,LOC_02,2010-07-26,delivery delay,Low,5.9,1.0,2,Resolved
TKT-00275,14506,LOC_02,2010-11-14,General Enquiry,Low,2.4,1.0,2,Resolved
TKT-00276,15494,LOC_06,2010-03-15,Account Access,Medium,2.1,1.0,,Resolved
TKT-00277,13042,LOC_07,2011-11-27,billing issue,Medium,9.0,1.0,3,Resolved
TKT-00278,16709,LOC_03,2010-07-06,billing issue,Medium,16.1,1.0,1,Resolved
TKT-00279,12509,LOC_01,2010-02-17,Login Issue,Medium,3.8,1.0,2,Resolved
TKT-00280,13894,LOC_01,2011-02-10,Product Defect,High,5.2,1.0,2,Resolved
TKT-00281,13335,LOC_03,2010-04-23,Defective Product,High,7.7,1.0,2,Open
TKT-00282,12866,LOC_02,2011-03-11,General Enquiry,Low,2.8,1.0,3,Escalated
TKT-00283,18189,LOC_03,2011-09-22,General Enquiry,Low,1.4,0.0,5,Resolved
TKT-00284,17661,LOC_02,2010-12-03,billing issue,Medium,5.0,1.0,3,Resolved
TKT-00285,17773,LOC_06,2011-11-05,Late Delivery,High,6.2,1.0,,Resolved
TKT-00286,13215,LOC_05,2011-10-06,General Enquiry,Medium,2.2,1.0,3,Resolved
TKT-00287,16931,LOC_08,2010-12-17,Login Issue,Low,2.6,1.0,3,Open
TKT-00288,14737,LOC_06,2010-06-11,Account Access,Low,1.9,0.0,4,Escalated
TKT-00289,17271,LOC_02,2011-06-19,billing issue,High,5.5,1.0,,Resolved
TKT-00290,17948,LOC_07,2010-07-19,Refund Request,Medium,,,,Resolved
TKT-00291,16919,LOC_02,2011-09-19,Refund Request,Low,,,,Resolved
TKT-00292,16596,LOC_05,2010-03-13,Billing,Medium,8.6,1.0,2,Resolved
TKT-00293,15527,LOC_01,2010-04-17,Login Issue,High,2.6,1.0,,Open
TKT-00294,17590,LOC_01,2010-05-26,delivery delay,Medium,2.5,1.0,2,Escalated
TKT-00295,18216,LOC_04,2010-11-08,Refund Request,High,5.2,1.0,1,Resolved
TKT-00296,15493,LOC_01,2011-12-07,Late Delivery,Medium,3.8,1.0,2,Resolved
TKT-00297,15416,LOC_03,2011-05-13,Billing Issue,Medium,16.6,1.0,1,Resolved
TKT-00298,13409,LOC_03,2010-12-03,Defective Product,Medium,6.7,1.0,3,Resolved
TKT-00299,14723,LOC_07,2010-07-09,delivery delay,High,,,,Resolved
TKT-00300,15772,LOC_03,2010-12-21,Billing Issue,Medium,7.7,1.0,3,Resolved
