ticket_id,customer_id,location_id,ticket_date,issue_category,priority,resolution_days,sla_breached,csat_score,status,is_abandoned,csat_responded
TKT-00117,17752,LOC_03,2010-03-19,Billing,High,13.1,1,1.0,Open,False,True
TKT-00118,15052,LOC_07,2011-11-21,Product Defect,Medium,6.3,1,2.0,Resolved,False,True
TKT-00119,17970,LOC_02,2010-02-02,Refund,Low,4.2,1,2.0,Resolved,False,True
TKT-00120,15067,LOC_02,2011-07-03,Account Access,High,2.6,1,,Resolved,False,False
TKT-00121,14292,LOC_05,2011-08-07,Account Access,Medium,4.8,1,,Open,False,False
TKT-00122,15848,LOC_06,2010-11-05,Account Access,Low,2.6,1,3.0,Resolved,False,True
TKT-00123,14008,LOC_01,2010-07-02,Product Defect,High,4.2,1,4.0,Open,False,True
TKT-00124,12958,LOC_04,2011-06-13,General Enquiry,Medium,,1,,Open,True,False
TKT-00125,17792,LOC_04,2011-09-14,Product Defect,Medium,6.0,1,2.0,Resolved,False,True
TKT-00126,14288,LOC_03,2010-12-12,Billing,High,10.5,1,2.0,Resolved,False,True
TKT-00127,14017,LOC_04,2011-06-07,Delivery,Low,2.9,1,2.0,Resolved,False,True
TKT-00128,14519,LOC_02,2010-09-13,Delivery,Low,5.3,1,,Open,False,False
TKT-00129,16060,LOC_03,2011-08-26,Delivery,Critical,9.2,1,2.0,Resolved,False,True
TKT-00130,13628,LOC_06,2011-05-19,Refund,High,5.1,1,1.0,Resolved,False,True
TKT-00131,13823,LOC_07,2010-06-19,Refund,Low,6.9,1,1.0,Resolved,False,True
TKT-00132,17093,LOC_05,2010-08-02,Delivery,Medium,4.3,1,2.0,Resolved,False,True
TKT-00133,15535,LOC_01,2011-12-24,Delivery,Low,3.3,1,4.0,Escalated,False,True
TKT-00134,13987,LOC_06,2011-11-20,Refund,High,3.8,1,2.0,Resolved,False,True
TKT-00135,15692,LOC_07,2010-11-14,Billing,Medium,9.9,1,,Resolved,False,False
TKT-00136,17264,LOC_04,2011-02-20,Refund,High,8.7,1,2.0,Resolved,False,True
TKT-00137,16220,LOC_04,2010-11-07,Billing,Critical,4.8,1,3.0,Resolved,False,True
TKT-00138,15569,LOC_08,2011-02-10,General Enquiry,Critical,0.5,0,5.0,Resolved,False,True
TKT-00139,14288,LOC_05,2010-04-21,Product Defect,Low,6.6,1,1.0,Escalated,False,True
TKT-00140,18237,LOC_07,2010-06-20,Delivery,Critical,10.6,1,3.0,Resolved,False,True
TKT-00141,15288,LOC_05,2010-10-16,Refund,Low,,1,,Resolved,True,False
TKT-00142,17102,LOC_02,2010-09-21,Refund,Medium,8.4,1,,Resolved,False,False
TKT-00143,17517,LOC_03,2010-09-10,Billing,Low,,1,,Resolved,True,False
TKT-00144,13463,LOC_06,2010-11-11,Account Access,Medium,2.4,1,3.0,Resolved,False,True
TKT-00145,16476,LOC_04,2011-01-01,Product Defect,Medium,6.9,1,3.0,Resolved,False,True
TKT-00146,12699,LOC_03,2010-03-15,Billing,High,12.5,1,,Resolved,False,False
TKT-00147,16296,LOC_01,2011-05-27,Account Access,Critical,4.5,1,3.0,Resolved,False,True
TKT-00148,15826,LOC_07,2011-04-06,Billing,Medium,7.2,1,1.0,Resolved,False,True
TKT-00149,15291,LOC_07,2011-10-22,General Enquiry,Medium,,1,,Resolved,True,False
TKT-00150,16848,LOC_04,2010-12-21,Product Defect,Medium,5.7,1,,Resolved,False,False
TKT-00151,17117,LOC_06,2011-01-17,Account Access,Medium,2.9,1,3.0,Open,False,True
TKT-00152,18014,LOC_02,2010-06-11,Product Defect,Medium,5.0,1,2.0,Resolved,False,True
TKT-00153,12870,LOC_04,2011-01-20,Billing,Critical,5.2,1,3.0,Resolved,False,True
TKT-00154,12445,LOC_03,2011-09-25,Account Access,Low,3.0,1,,Resolved,False,False
TKT-00155,16487,LOC_06,2011-12-22,Delivery,High,3.0,1,4.0,Open,False,True
TKT-00156,14413,LOC_04,2010-10-19,Refund,Low,5.4,1,1.0,Resolved,False,True
TKT-00157,16038,LOC_04,2010-08-26,Delivery,Medium,5.8,1,2.0,Resolved,False,True
TKT-00158,12861,LOC_03,2010-10-24,Delivery,High,10.1,1,,Escalated,False,False
TKT-00159,15812,LOC_01,2010-04-14,Product Defect,Medium,4.0,1,3.0,Resolved,False,True
TKT-00160,17448,LOC_08,2010-12-13,Account Access,High,1.3,0,5.0,Open,False,True
TKT-00161,15542,LOC_01,2011-05-27,Refund,Medium,8.2,1,1.0,Resolved,False,True
TKT-00162,16575,LOC_03,2010-10-27,Billing,High,8.8,1,1.0,Resolved,False,True
TKT-00163,16210,LOC_03,2011-05-11,Account Access,High,4.1,1,,Resolved,False,False
TKT-00164,16803,LOC_03,2011-11-14,Refund,Low,12.6,1,1.0,Resolved,False,True
TKT-00165,13897,LOC_05,2011-06-11,Refund,Critical,5.4,1,3.0,Resolved,False,True
TKT-00166,15491,LOC_04,2011-05-02,Delivery,Low,4.8,1,2.0,Resolved,False,True
TKT-00167,18117,LOC_02,2010-12-16,Refund,Medium,3.1,1,2.0,Resolved,False,True
TKT-00168,14688,LOC_01,2011-10-08,Delivery,Critical,,1,,Resolved,True,False
TKT-00169,17494,LOC_01,2010-07-23,Billing,Low,5.9,1,,Resolved,False,False
TKT-00170,18253,LOC_04,2011-12-18,Account Access,Medium,2.6,1,4.0,Resolved,False,True
TKT-00171,13528,LOC_07,2011-05-05,Refund,Low,6.5,1,3.0,Escalated,False,True
TKT-00172,13986,LOC_01,2010-12-10,Refund,Low,5.9,1,1.0,Resolved,False,True
TKT-00173,17861,LOC_06,2011-03-16,Billing,Low,9.7,1,1.0,Open,False,True
TKT-00174,12452,LOC_07,2010-01-25,Refund,Critical,5.4,1,3.0,Resolved,False,True
TKT-00175,16763,LOC_03,2010-09-25,Delivery,Medium,3.8,1,3.0,Resolved,False,True
TKT-00176,12812,LOC_06,2011-09-04,Refund,Low,4.4,1,3.0,Resolved,False,True
TKT-00177,14444,LOC_06,2010-01-27,Delivery,Critical,6.1,1,2.0,Open,False,True
TKT-00178,17748,LOC_06,2011-03-26,Billing,Medium,8.7,1,2.0,Escalated,False,True
TKT-00179,17900,LOC_07,2010-05-23,General Enquiry,High,3.3,1,3.0,Resolved,False,True
TKT-00180,17325,LOC_03,2010-02-13,Billing,Medium,11.2,1,3.0,Escalated,False,True
TKT-00181,13448,LOC_02,2011-11-19,Account Access,Medium,3.1,1,,Resolved,False,False
TKT-00182,14285,LOC_04,2011-02-13,Billing,Low,6.1,1,1.0,Resolved,False,True
TKT-00183,18128,LOC_01,2010-05-23,Refund,Medium,4.1,1,,Open,False,False
TKT-00184,14384,LOC_03,2010-05-21,Billing,Critical,10.7,1,1.0,Escalated,False,True
TKT-00185,13416,LOC_07,2010-05-11,Product Defect,Low,6.9,1,2.0,Resolved,False,True
TKT-00186,16928,LOC_04,2011-02-25,Billing,Medium,5.1,1,1.0,Resolved,False,True
TKT-00187,15157,LOC_03,2011-04-11,General Enquiry,Critical,,1,,Open,True,False
TKT-00188,13530,LOC_02,2010-12-23,Product Defect,Low,5.5,1,2.0,Resolved,False,True
TKT-00189,15629,LOC_02,2011-11-08,Billing,Low,5.6,1,2.0,Resolved,False,True
TKT-00190,17313,LOC_02,2011-07-06,Refund,Low,4.6,1,3.0,Escalated,False,True
TKT-00191,15012,LOC_07,2011-01-14,Product Defect,Low,8.1,1,3.0,Resolved,False,True
TKT-00192,16333,LOC_08,2011-09-14,General Enquiry,Medium,2.9,1,3.0,Resolved,False,True
TKT-00193,16533,LOC_04,2011-02-01,Product Defect,Low,4.2,1,,Escalated,False,False
TKT-00194,14145,LOC_01,2011-07-26,Product Defect,Low,4.6,1,4.0,Resolved,False,True
TKT-00195,14405,LOC_07,2010-11-19,Product Defect,High,7.8,1,1.0,Resolved,False,True
TKT-00196,17899,LOC_07,2010-11-07,General Enquiry,High,4.2,1,3.0,Resolved,False,True
TKT-00197,12727,LOC_08,2011-11-16,Refund,Medium,5.5,1,1.0,Resolved,False,True
TKT-00198,17394,LOC_05,2010-03-04,Refund,Medium,4.4,1,3.0,Resolved,False,True
TKT-00199,14572,LOC_04,2010-05-25,Account Access,Critical,1.5,0,,Open,False,False
TKT-00200,17685,LOC_05,2010-04-12,General Enquiry,Critical,1.3,0,4.0,Resolved,False,True
TKT-00201,17168,LOC_01,2010-12-09,Account Access,Critical,4.1,1,2.0,Resolved,False,True
TKT-00202,16720,LOC_06,2011-07-25,General Enquiry,Critical,1.2,0,4.0,Resolved,False,True
TKT-00203,14645,LOC_06,2010-12-25,Delivery,Medium,3.6,1,3.0,Resolved,False,True
TKT-00204,13493,LOC_06,2010-03-04,Delivery,Medium,6.3,1,1.0,Open,False,True
TKT-00205,13835,LOC_05,2010-12-11,Delivery,Critical,2.0,0,5.0,Resolved,False,True
TKT-00206,15662,LOC_06,2010-12-13,General Enquiry,High,0.6,0,4.0,Open,False,True
TKT-00207,15799,LOC_05,2010-10-09,Account Access,High,4.3,1,2.0,Resolved,False,True
TKT-00208,14058,LOC_01,2010-05-23,Refund,High,8.3,1,3.0,Open,False,True
TKT-00209,17278,LOC_07,2010-08-25,Billing,Medium,7.7,1,1.0,Resolved,False,True
TKT-00210,18167,LOC_05,2011-11-05,Delivery,Medium,6.3,1,2.0,Resolved,False,True
TKT-00211,17350,LOC_06,2011-03-03,Account Access,Medium,2.0,0,4.0,Resolved,False,True
TKT-00212,15795,LOC_03,2011-11-07,Delivery,Low,9.5,1,3.0,Resolved,False,True
TKT-00213,15283,LOC_08,2010-06-25,Refund,Medium,8.6,1,1.0,Escalated,False,True
TKT-00214,15016,LOC_04,2011-02-08,Refund,Medium,8.5,1,2.0,Resolved,False,True
TKT-00215,14376,LOC_06,2011-09-26,Delivery,High,4.5,1,2.0,Resolved,False,True
TKT-00216,18145,LOC_08,2011-12-21,General Enquiry,Medium,2.8,1,4.0,Resolved,False,True
TKT-00217,15511,LOC_08,2010-11-13,Delivery,High,4.1,1,3.0,Escalated,False,True
TKT-00218,16376,LOC_05,2011-11-17,General Enquiry,Medium,2.9,1,2.0,Resolved,False,True
TKT-00219,14344,LOC_02,2010-09-07,Refund,Critical,,1,,Resolved,True,False
TKT-00220,17738,LOC_08,2011-10-08,Billing,Low,4.7,1,2.0,Resolved,False,True
TKT-00221,17547,LOC_08,2010-03-22,Account Access,Medium,1.4,0,,Resolved,False,False
TKT-00222,13178,LOC_01,2011-08-19,Account Access,Medium,4.7,1,,Resolved,False,False
TKT-00223,13410,LOC_04,2011-05-26,Account Access,Low,2.9,1,4.0,Open,False,True
TKT-00224,15637,LOC_04,2011-11-19,Refund,Low,5.2,1,1.0,Resolved,False,True
TKT-00225,15168,LOC_01,2010-12-17,Account Access,Medium,3.7,1,3.0,Resolved,False,True
TKT-00226,13740,LOC_02,2010-05-06,General Enquiry,Medium,2.5,1,3.0,Resolved,False,True
TKT-00227,18164,LOC_04,2011-08-08,Billing,Critical,8.2,1,,Resolved,False,False
TKT-00228,17677,LOC_08,2010-03-02,Billing,High,4.9,1,2.0,Resolved,False,True
TKT-00229,15719,LOC_01,2011-01-06,Billing,Medium,9.2,1,,Open,False,False
TKT-00230,13869,LOC_08,2010-12-26,General Enquiry,Medium,2.6,1,3.0,Resolved,False,True
TKT-00231,16865,LOC_07,2010-01-26,Refund,Low,8.6,1,3.0,Resolved,False,True
TKT-00232,13382,LOC_07,2010-10-15,Billing,Medium,,1,,Escalated,True,False
TKT-00233,12774,LOC_03,2011-05-12,Billing,Medium,14.4,1,3.0,Resolved,False,True
TKT-00234,17527,LOC_04,2010-08-18,Product Defect,Low,6.7,1,2.0,Escalated,False,True
TKT-00235,15468,LOC_03,2011-11-11,Account Access,Medium,3.1,1,,Open,False,False
TKT-00236,15182,LOC_08,2011-11-09,Account Access,Medium,1.0,0,5.0,Escalated,False,True
TKT-00237,12588,LOC_04,2010-01-13,General Enquiry,Medium,0.5,0,5.0,Resolved,False,True
TKT-00238,13347,LOC_01,2011-11-03,Account Access,High,3.6,1,3.0,Resolved,False,True
TKT-00239,14203,LOC_03,2011-05-15,Billing,Medium,12.5,1,2.0,Escalated,False,True
TKT-00240,17126,LOC_04,2011-07-25,Account Access,Low,2.2,1,,Resolved,False,False
TKT-00241,12801,LOC_08,2010-03-13,Product Defect,Low,3.3,1,2.0,Resolved,False,True
TKT-00242,16673,LOC_05,2010-10-18,Account Access,High,2.4,1,3.0,Escalated,False,True
TKT-00243,17016,LOC_06,2010-04-19,Product Defect,Low,7.6,1,1.0,Resolved,False,True
TKT-00244,18203,LOC_01,2011-06-22,Product Defect,High,,1,,Resolved,True,False
TKT-00245,15241,LOC_07,2011-08-05,Billing,Medium,10.0,1,3.0,Resolved,False,True
TKT-00246,13574,LOC_04,2011-07-19,General Enquiry,High,2.0,0,4.0,Resolved,False,True
TKT-00247,18092,LOC_08,2011-03-04,Delivery,Medium,,1,,Open,True,False
TKT-00248,16190,LOC_03,2011-01-12,Refund,Low,13.2,1,3.0,Resolved,False,True
TKT-00249,13719,LOC_06,2010-08-03,Delivery,High,4.5,1,2.0,Open,False,True
TKT-00250,16598,LOC_04,2011-12-13,Delivery,Low,4.2,1,3.0,Resolved,False,True
TKT-00251,16162,LOC_01,2010-05-25,General Enquiry,Low,1.2,0,,Resolved,False,False
TKT-00252,14597,LOC_03,2010-11-09,Delivery,Low,4.2,1,4.0,Resolved,False,True
TKT-00253,16648,LOC_01,2010-03-01,Delivery,Medium,6.2,1,3.0,Resolved,False,True
TKT-00254,14215,LOC_03,2010-08-17,Delivery,Low,4.9,1,4.0,Resolved,False,True
TKT-00255,14771,LOC_05,2011-04-11,Refund,Critical,5.1,1,1.0,Resolved,False,True
TKT-00256,13231,LOC_02,2010-11-01,Product Defect,Low,,1,,Resolved,True,False
TKT-00257,14150,LOC_04,2010-04-08,Billing,High,4.1,1,3.0,Open,False,True
TKT-00258,16051,LOC_04,2011-11-04,Refund,Medium,,1,,Resolved,True,False
TKT-00259,17329,LOC_04,2010-12-23,General Enquiry,High,2.7,1,3.0,Resolved,False,True
TKT-00260,15851,LOC_02,2011-05-22,Billing,High,4.9,1,4.0,Escalated,False,True
TKT-00261,17532,LOC_04,2011-02-18,Refund,Low,8.8,1,3.0,Resolved,False,True
TKT-00262,13599,LOC_03,2011-07-26,Refund,Medium,10.8,1,2.0,Resolved,False,True
TKT-00263,16432,LOC_03,2011-02-20,Delivery,Medium,3.7,1,3.0,Resolved,False,True
TKT-00264,17259,LOC_05,2011-07-06,Refund,High,6.7,1,2.0,Resolved,False,True
TKT-00265,14520,LOC_01,2011-06-04,Delivery,High,4.6,1,4.0,Resolved,False,True
TKT-00266,16262,LOC_08,2011-07-04,Account Access,Low,2.9,1,3.0,Resolved,False,True
TKT-00267,16886,LOC_08,2011-07-03,Billing,Medium,6.2,1,3.0,Resolved,False,True
TKT-00268,14153,LOC_06,2010-08-19,Refund,Medium,7.0,1,,Escalated,False,False
TKT-00269,12409,LOC_03,2011-07-06,Delivery,Medium,4.2,1,2.0,Resolved,False,True
TKT-00270,17737,LOC_05,2010-09-02,General Enquiry,Low,0.8,0,5.0,Resolved,False,True
TKT-00271,15845,LOC_05,2011-09-09,Product Defect,Low,5.4,1,,Resolved,False,False
TKT-00272,16084,LOC_03,2011-11-19,Account Access,High,,1,,Resolved,True,False
TKT-00273,15072,LOC_03,2010-10-23,General Enquiry,Low,3.1,1,3.0,Resolved,False,True
TKT-00274,17546,LOC_02,2010-07-26,Delivery,Low,5.9,1,2.0,Resolved,False,True
TKT-00275,14506,LOC_02,2010-11-14,General Enquiry,Low,2.4,1,2.0,Resolved,False,True
TKT-00276,15494,LOC_06,2010-03-15,Account Access,Medium,2.1,1,,Resolved,False,False
TKT-00277,13042,LOC_07,2011-11-27,Billing,Medium,9.0,1,3.0,Resolved,False,True
TKT-00278,16709,LOC_03,2010-07-06,Billing,Medium,16.1,1,1.0,Resolved,False,True
TKT-00279,12509,LOC_01,2010-02-17,Account Access,Medium,3.8,1,2.0,Resolved,False,True
TKT-00280,13894,LOC_01,2011-02-10,Product Defect,High,5.2,1,2.0,Resolved,False,True
TKT-00281,13335,LOC_03,2010-04-23,Product Defect,High,7.7,1,2.0,Open,False,True
TKT-00282,12866,LOC_02,2011-03-11,General Enquiry,Low,2.8,1,3.0,Escalated,False,True
