location_id,quarter,region,staff_count,sla_target_days,sla_achievement_rate,inventory_level,ticket_volume_handled,sla_imputed,staff_imputed,sla_status
LOC_05,2011-Q1,Netherlands,19.0,2.0,0.84,0.71,94,False,False,Compliant
LOC_06,2011-Q1,EIRE,9.0,2.0,0.78,0.87,119,False,False,Compliant
LOC_07,2011-Q1,Germany,12.0,2.0,0.52,0.72,262,False,False,At Risk
LOC_08,2011-Q1,France,12.0,2.0,0.75,0.74,143,False,True,Compliant
LOC_01,2011-Q2,UK,12.0,2.0,0.93,0.78,147,False,False,Compliant
LOC_02,2011-Q2,UK,14.0,2.0,0.74,0.78,82,False,False,Compliant
LOC_03,2011-Q2,Germany,4.0,2.0,0.47,0.71,259,False,False,Critical
LOC_04,2011-Q2,France,8.0,2.0,0.85,0.73,115,False,False,Compliant
LOC_05,2011-Q2,Netherlands,17.0,2.0,0.9,0.93,140,False,False,Compliant
LOC_06,2011-Q2,EIRE,10.0,2.0,0.93,0.77,101,False,False,Compliant
LOC_07,2011-Q2,Germany,11.0,2.0,0.58,0.83,235,False,False,At Risk
LOC_08,2011-Q2,France,12.0,2.0,0.89,0.74,88,False,True,Compliant
LOC_01,2011-Q3,UK,14.0,2.0,0.77,0.86,173,False,False,Compliant
LOC_02,2011-Q3,UK,10.0,2.0,0.78,0.88,82,False,False,Compliant
LOC_03,2011-Q3,Germany,4.0,2.0,0.57,0.9,202,False,False,At Risk
LOC_04,2011-Q3,France,17.0,2.0,0.73,0.92,122,False,False,Compliant
LOC_05,2011-Q3,Netherlands,8.0,2.0,0.86,0.77,102,True,False,Compliant
LOC_06,2011-Q3,EIRE,11.0,2.0,0.79,0.89,159,False,False,Compliant
LOC_07,2011-Q3,Germany,11.0,2.0,0.48,0.75,301,False,False,Critical
LOC_08,2011-Q3,France,12.0,2.0,0.84,0.83,116,False,True,Compliant
LOC_01,2011-Q4,UK,16.0,2.0,0.82,0.45,121,False,False,Compliant
LOC_02,2011-Q4,UK,13.0,2.0,0.93,0.49,145,False,False,Compliant
LOC_03,2011-Q4,Germany,3.0,2.0,0.52,0.59,217,False,False,At Risk
LOC_04,2011-Q4,France,12.0,2.0,0.94,0.58,124,False,False,Compliant
LOC_05,2011-Q4,Netherlands,10.0,2.0,0.9,0.65,108,False,False,Compliant
LOC_06,2011-Q4,EIRE,10.0,2.0,0.87,0.54,174,False,False,Compliant
LOC_07,2011-Q4,Germany,10.0,2.0,0.53,0.52,186,False,False,At Risk
LOC_08,2011-Q4,France,12.0,2.0,0.93,0.49,160,False,True,Compliant
