customer_id,segment,clv,acquisition_channel,region,acquisition_date,clv_imputed
16034,Retail,768.41,Online,Germany,2009-02-11,False
14862,Corporate,12159.8,Online,UK,2009-06-02,False
13394,Corporate,2424.57,Referral,UK,2009-03-22,False
15908,Retail,104.01,Online,UK,2009-01-01,False
16540,Corporate,12930.21,Online,UK,2009-10-16,False
13674,Corporate,14985.76,Referral,UK,2009-03-14,False
18026,Corporate,5941.71,Direct Sales,France,2009-03-05,False
17452,Retail,110.75,Online,UK,2009-11-03,False
13491,Retail,599.03,Partner,UK,2009-12-19,False
17840,Retail,1135.65,Online,France,2009-08-28,False
13604,Retail,704.7,Partner,France,2009-05-09,False
13304,Retail,706.48,Referral,UK,2009-02-06,False
13399,Retail,297.66,Online,UK,2009-03-21,False
16948,Wholesale,1359.79,Referral,Germany,2009-01-07,False
16307,Corporate,5409.57,Online,Germany,2009-04-29,False
12828,Retail,169.34,Direct Sales,UK,2009-07-13,False
17563,Retail,421.62,Referral,UK,2009-10-28,False
13700,Wholesale,1399.82,Direct Sales,UK,2009-03-04,False
16669,Wholesale,4067.54,Online,UK,2009-05-01,False
15840,Retail,179.38,Online,UK,2009-06-21,False
15738,Retail,688.4,Online,UK,2009-06-19,False
16831,Retail,1198.34,Trade Show,UK,2009-06-08,False
16088,Corporate,6739.36,Online,France,2009-03-29,False
14579,Corporate,2498.73,Trade Show,Netherlands,2009-10-15,False
17734,Retail,1080.19,Online,Other Europe,2009-11-04,False
17267,Corporate,7905.52,Referral,EIRE,2009-07-04,False
16036,Retail,221.79,Direct Sales,UK,2009-02-18,False
15991,Retail,302.3,Direct Sales,UK,2009-05-29,False
15022,Retail,627.24,Online,UK,2009-06-21,False
14262,Corporate,5580.81,Direct Sales,Other Europe,2009-02-21,False
17568,Retail,1019.39,Referral,Other Europe,2009-06-29,False
14647,Corporate,11974.03,Referral,UK,2009-05-25,False
15620,Retail,500.27,Partner,UK,2009-01-20,False
17903,Retail,614.12,Online,UK,2009-08-25,True
14091,Corporate,8949.27,Online,UK,2009-07-20,False
13046,Corporate,10604.72,Online,UK,2009-04-23,False
15914,Corporate,8067.01,Referral,UK,2009-10-05,True
15281,Retail,241.85,Direct Sales,UK,2009-12-26,False
15006,Retail,100.46,Partner,Netherlands,2009-04-24,False
13711,Corporate,10187.67,Online,UK,2009-12-21,False
16302,Retail,877.49,Online,France,2009-09-25,False
12354,Corporate,6231.54,Online,UK,2009-01-02,False
14285,Retail,263.07,Trade Show,Netherlands,2009-12-31,False
15855,Retail,935.47,Referral,UK,2009-09-09,False
12695,Retail,1047.12,Online,France,2009-02-16,False
14183,Retail,1094.3,Online,UK,2009-11-10,False
13261,Retail,859.72,Online,UK,2009-06-27,False
12646,Retail,895.99,Referral,UK,2009-08-28,False
14163,Retail,700.61,Referral,France,2009-03-14,False
13991,Retail,568.12,Online,France,2009-01-21,False
15886,Corporate,12046.92,Partner,Unknown,2009-05-31,False
14381,Corporate,14530.91,Referral,Unknown,2009-01-03,False
17617,Wholesale,4869.57,Referral,France,2009-05-12,False
12999,Retail,235.27,Direct Sales,Unknown,2009-04-11,False
15557,Retail,617.54,Online,UK,2009-02-08,False
15983,Retail,572.31,Referral,France,2009-12-31,False
12546,Wholesale,3721.05,Online,Germany,2009-02-19,False
17125,Retail,487.22,Referral,UK,2009-09-27,False
16101,Retail,56.74,Referral,UK,2009-12-02,False
12433,Retail,354.54,Direct Sales,UK,2009-09-19,False
16256,Retail,226.42,Direct Sales,UK,2009-05-26,False
16184,Retail,221.98,Referral,UK,2009-02-01,False
18079,Retail,200.67,Referral,UK,2009-02-16,False
17961,Corporate,8067.01,Trade Show,UK,2009-06-06,True
14492,Retail,678.95,Direct Sales,France,2009-03-21,False
13201,Retail,614.12,Online,UK,2009-03-27,True
12403,Corporate,8392.59,Direct Sales,France,2009-01-06,False
18064,Retail,529.74,Partner,Other Europe,2009-01-31,False
16247,Retail,164.61,Online,Germany,2009-04-20,False
13214,Wholesale,3427.73,Partner,Germany,2009-06-07,False
12352,Retail,1121.7,Online,UK,2009-03-08,False
14618,Retail,478.56,Online,France,2009-10-04,False
14924,Retail,127.38,Online,EIRE,2009-12-20,False
13385,Retail,523.51,Trade Show,France,2009-02-15,False
13461,Corporate,11193.97,Trade Show,France,2009-01-10,False
16127,Wholesale,1843.87,Online,UK,2009-06-30,False
14263,Retail,135.3,Direct Sales,France,2009-02-07,False
13581,Retail,667.99,Online,UK,2009-08-03,False
14348,Corporate,9718.18,Online,Netherlands,2009-10-04,False
15150,Corporate,7691.16,Online,UK,2009-12-20,False
16057,Retail,250.57,Referral,EIRE,2009-05-02,False
18185,Retail,648.6,Direct Sales,UK,2009-02-21,False
13952,Corporate,3564.73,Direct Sales,UK,2009-03-28,False
17927,Retail,139.53,Online,UK,2009-03-30,False
15074,Wholesale,4673.34,Online,EIRE,2009-12-28,False
17234,Corporate,13097.19,Trade Show,UK,2009-10-01,False
14778,Retail,614.12,Online,Germany,2009-11-01,True
15516,Retail,288.03,Referral,UK,2009-09-13,False
17557,Retail,511.68,Referral,EIRE,2009-05-03,False
15242,Retail,410.16,Direct Sales,UK,2009-03-27,False
15287,Retail,501.83,Partner,UK,2009-05-15,False
16899,Retail,510.18,Online,Unknown,2009-05-18,False
17880,Retail,614.12,Referral,UK,2009-11-19,True
16947,Corporate,2637.06,Direct Sales,Unknown,2009-02-15,False
17739,Retail,237.06,Trade Show,UK,2009-12-30,False
18234,Wholesale,3846.97,Online,UK,2009-12-15,False
17595,Wholesale,1411.64,Partner,Germany,2009-12-02,False
17672,Retail,290.46,Partner,UK,2009-10-18,False
16153,Corporate,11893.08,Online,Germany,2009-01-18,False
17594,Corporate,9022.82,Trade Show,UK,2009-12-08,False
16107,Wholesale,3253.74,Referral,UK,2009-02-13,False
14441,Retail,988.11,Online,UK,2009-10-02,False
13072,Retail,381.12,Online,UK,2009-05-18,False
17382,Retail,274.07,Direct Sales,UK,2009-06-04,False
12745,Retail,614.12,Online,Germany,2009-09-06,True
15568,Retail,877.39,Online,UK,2009-12-30,False
17476,Corporate,8067.01,Online,EIRE,2009-12-16,True
16748,Retail,1132.7,Online,UK,2009-05-25,False
14819,Retail,483.97,Trade Show,UK,2009-12-14,False
17881,Retail,1088.56,Online,Germany,2009-08-12,False
12430,Wholesale,3138.75,Online,UK,2009-03-01,False
12533,Corporate,5942.72,Direct Sales,Other Europe,2009-01-06,False
12501,Retail,162.26,Direct Sales,UK,2009-05-02,False
16292,Retail,87.34,Partner,France,2009-11-29,False
16188,Wholesale,2884.16,Online,EIRE,2009-05-11,True
12528,Retail,1024.39,Trade Show,UK,2009-06-22,False
14624,Retail,107.87,Referral,UK,2009-06-20,False
17665,Retail,614.12,Direct Sales,UK,2009-07-03,True
12398,Retail,371.93,Online,France,2009-02-14,False
16949,Retail,636.2,Online,UK,2009-04-17,False
17394,Retail,630.08,Direct Sales,Germany,2009-02-11,False
16753,Corporate,9278.61,Direct Sales,UK,2009-01-27,False
14739,Retail,976.5,Partner,Germany,2009-06-19,False
15674,Retail,489.46,Direct Sales,UK,2009-11-23,False
13908,Corporate,11032.67,Referral,Netherlands,2009-04-14,False
13207,Wholesale,947.67,Partner,Germany,2009-07-08,False
12378,Retail,110.88,Online,UK,2009-06-30,False
17220,Corporate,13993.85,Referral,UK,2009-01-08,False
17409,Retail,303.75,Online,EIRE,2009-05-24,False
13846,Corporate,2581.99,Referral,UK,2009-01-05,False
13858,Retail,587.97,Online,UK,2009-07-26,False
13408,Corporate,13703.43,Online,UK,2009-07-16,False
16741,Wholesale,3521.73,Referral,Germany,2009-09-14,False
14247,Wholesale,2884.16,Online,UK,2009-10-10,True
12731,Wholesale,1004.82,Online,UK,2009-09-15,False
13503,Wholesale,3756.93,Direct Sales,UK,2009-12-19,False
15925,Retail,195.53,Direct Sales,France,2009-05-24,False
15364,Retail,360.47,Online,France,2009-01-13,False
13900,Retail,892.5,Direct Sales,UK,2009-04-06,False
16936,Corporate,8817.67,Direct Sales,UK,2009-10-28,False
15069,Retail,1108.13,Direct Sales,Netherlands,2009-09-26,False
17230,Corporate,2806.54,Online,EIRE,2009-08-06,False
17398,Wholesale,2884.16,Referral,EIRE,2009-06-14,True
16143,Wholesale,3887.11,Partner,UK,2009-08-10,False
16542,Corporate,5007.53,Partner,UK,2009-10-27,False
18037,Wholesale,4521.96,Online,France,2009-04-14,False
14226,Retail,716.0,Online,UK,2009-12-06,False
12967,Retail,614.12,Direct Sales,EIRE,2009-05-19,True
15658,Retail,962.89,Direct Sales,Germany,2009-01-30,False
17034,Retail,418.65,Online,Unknown,2009-09-30,False
15057,Retail,614.12,Online,UK,2009-09-03,True
13683,Retail,614.12,Partner,UK,2009-06-10,True
14140,Corporate,8067.01,Referral,Germany,2009-06-12,True
13263,Corporate,8067.01,Referral,Germany,2009-05-06,True
16684,Retail,142.21,Online,UK,2009-03-05,False
14787,Retail,614.12,Online,UK,2009-01-22,True
14015,Retail,384.24,Partner,Unknown,2009-11-02,False
13715,Wholesale,2884.16,Partner,UK,2009-02-01,True
13696,Retail,1025.74,Partner,UK,2009-03-13,False
12525,Corporate,14297.02,Online,EIRE,2009-11-28,False
16160,Corporate,10789.84,Referral,UK,2009-05-02,False
14495,Retail,61.3,Online,UK,2009-09-12,False
16263,Corporate,4496.21,Online,UK,2009-07-26,False
16968,Wholesale,3749.09,Online,France,2009-07-24,False
14314,Wholesale,4416.68,Referral,UK,2009-04-16,False
18131,Retail,546.88,Referral,UK,2009-11-27,False
16663,Retail,649.58,Partner,UK,2009-03-07,False
13038,Retail,552.59,Direct Sales,UK,2009-06-30,False
13501,Corporate,3521.84,Online,UK,2009-10-10,False
13727,Corporate,7235.61,Online,Germany,2009-11-25,False
15677,Retail,474.37,Direct Sales,UK,2009-08-21,False
16957,Retail,184.41,Online,Other Europe,2009-05-02,False
13600,Corporate,10185.89,Direct Sales,UK,2009-06-08,False
15588,Retail,458.02,Trade Show,UK,2009-02-16,False
15212,Corporate,12015.35,Online,EIRE,2009-12-24,False
15961,Retail,722.47,Online,UK,2009-05-29,False
15873,Corporate,5256.28,Direct Sales,France,2009-12-20,False
17679,Retail,776.08,Direct Sales,Germany,2009-06-27,False
15487,Corporate,14319.92,Direct Sales,Netherlands,2009-10-19,False
14847,Wholesale,4690.01,Direct Sales,UK,2009-12-18,False
12806,Retail,1143.36,Online,UK,2009-01-11,False
13393,Retail,298.78,Online,UK,2009-06-27,False
18222,Corporate,7343.61,Direct Sales,France,2009-04-13,False
15017,Corporate,12826.13,Online,UK,2009-08-21,False
14045,Retail,413.52,Partner,UK,2009-04-20,False
12923,Corporate,14959.04,Partner,UK,2009-09-06,False
18238,Wholesale,4724.53,Online,UK,2009-04-27,False
14545,Retail,878.53,Direct Sales,UK,2009-05-14,False
14380,Wholesale,1421.43,Online,UK,2009-11-23,False
14772,Retail,881.0,Online,UK,2009-08-22,False
17704,Retail,295.8,Referral,UK,2009-07-12,False
14368,Retail,922.16,Referral,UK,2009-07-19,False
13599,Retail,811.04,Online,UK,2009-03-09,False
12791,Retail,832.29,Partner,France,2009-05-28,False
16003,Corporate,2902.12,Online,UK,2009-06-17,False
13705,Wholesale,2221.73,Online,UK,2009-05-07,False
16092,Corporate,7727.84,Online,UK,2009-09-01,False
12364,Corporate,4658.56,Online,Netherlands,2009-07-06,False
13245,Retail,756.29,Online,UK,2009-06-25,False
15670,Wholesale,2066.98,Referral,Germany,2009-05-12,False
15646,Retail,841.34,Online,EIRE,2009-07-16,False
12444,Retail,982.0,Online,EIRE,2009-04-28,False
14995,Retail,1155.72,Partner,UK,2009-09-21,False
14611,Corporate,5361.24,Online,Germany,2009-12-21,False
12663,Corporate,14873.71,Referral,France,2009-07-13,False
12877,Wholesale,2176.94,Online,UK,2009-05-22,False
17499,Corporate,4389.57,Online,UK,2009-12-01,False
17915,Retail,247.43,Referral,UK,2009-11-21,False
13061,Retail,530.66,Direct Sales,UK,2009-04-06,False
14489,Wholesale,3205.64,Online,France,2009-08-20,False
13358,Retail,1193.43,Referral,UK,2009-08-30,False
16934,Retail,382.52,Direct Sales,UK,2009-11-22,False
16030,Retail,438.41,Online,UK,2009-01-27,False
12432,Retail,296.45,Direct Sales,France,2009-10-02,False
14249,Corporate,9906.75,Online,UK,2009-08-13,False
13430,Wholesale,3165.13,Online,Germany,2009-09-22,False
15289,Corporate,12287.04,Online,UK,2009-06-01,False
17302,Retail,614.12,Online,France,2009-07-02,True
16424,Wholesale,4165.76,Partner,France,2009-04-09,False
14636,Corporate,14713.91,Trade Show,Netherlands,2009-06-26,False
14051,Corporate,10052.07,Trade Show,UK,2009-05-22,False
13194,Retail,506.76,Partner,Unknown,2009-09-14,False
15523,Retail,226.98,Referral,Germany,2009-05-09,False
16514,Corporate,5029.25,Online,EIRE,2009-11-18,False
16686,Retail,1131.58,Referral,Netherlands,2009-01-06,False
14680,Retail,614.12,Online,UK,2009-02-04,True
12558,Retail,581.68,Trade Show,France,2009-09-05,False
13596,Wholesale,3118.48,Partner,UK,2009-12-11,False
15462,Retail,466.97,Referral,Germany,2009-02-19,False
16020,Retail,289.23,Referral,UK,2009-07-06,False
13366,Corporate,5331.31,Referral,Netherlands,2009-07-10,False
15890,Corporate,9537.03,Direct Sales,UK,2009-08-05,False
17243,Wholesale,2832.89,Direct Sales,Germany,2009-03-25,False
16243,Wholesale,3106.15,Online,UK,2009-12-23,False
16499,Corporate,4831.15,Online,Unknown,2009-10-09,False
17017,Retail,340.98,Direct Sales,France,2009-03-15,False
17463,Corporate,10035.34,Online,EIRE,2009-06-02,False
15268,Corporate,3409.2,Referral,Germany,2009-01-30,False
17321,Retail,630.88,Online,UK,2009-05-08,False
12634,Retail,341.18,Direct Sales,Other Europe,2009-02-09,False
18162,Retail,368.63,Referral,Germany,2009-07-07,False
12769,Corporate,6829.02,Direct Sales,Germany,2009-10-08,False
12538,Corporate,4581.06,Direct Sales,UK,2009-08-16,False
14594,Retail,791.58,Trade Show,UK,2009-12-18,False
14391,Retail,931.88,Referral,EIRE,2009-04-04,False
16216,Retail,614.12,Referral,France,2009-10-17,True
13490,Retail,136.57,Trade Show,UK,2009-11-05,False
17026,Retail,789.22,Trade Show,France,2009-04-04,False
13725,Corporate,9866.32,Referral,EIRE,2009-06-29,False
14965,Retail,908.05,Online,UK,2009-12-15,False
16148,Corporate,3610.0,Referral,UK,2009-11-23,False
15626,Retail,611.9,Partner,Unknown,2009-10-03,False
16087,Corporate,11350.19,Trade Show,UK,2009-12-11,False
16007,Retail,136.86,Referral,UK,2009-04-20,False
15207,Retail,405.77,Online,UK,2009-02-17,False
14042,Retail,851.58,Referral,UK,2009-11-09,False
15089,Retail,1196.54,Online,UK,2009-01-23,False
18158,Corporate,8067.01,Partner,EIRE,2009-02-28,True
14531,Retail,664.14,Direct Sales,Germany,2009-10-02,False
15921,Retail,839.68,Online,UK,2009-09-24,False
16010,Retail,910.47,Partner,Germany,2009-11-24,False
14295,Wholesale,2884.16,Direct Sales,UK,2009-12-06,True
15565,Retail,1134.94,Online,UK,2009-08-17,False
17765,Retail,232.3,Online,Germany,2009-07-25,False
12419,Corporate,5081.92,Direct Sales,UK,2009-03-22,False
17954,Retail,680.88,Referral,UK,2009-10-15,False
17384,Corporate,8525.16,Partner,Other Europe,2009-08-17,False
17993,Wholesale,2781.99,Trade Show,Other Europe,2009-12-06,False
13480,Corporate,8067.01,Online,Unknown,2009-09-22,True
12440,Corporate,6580.25,Referral,Germany,2009-12-03,False
18259,Retail,614.12,Online,EIRE,2009-05-29,True
16867,Retail,780.62,Trade Show,UK,2009-04-25,False
13340,Retail,845.39,Direct Sales,UK,2009-04-25,False
13658,Retail,614.12,Direct Sales,UK,2009-08-17,True
12383,Retail,486.38,Referral,EIRE,2009-09-29,False
16335,Retail,390.2,Direct Sales,Netherlands,2009-10-19,False
17213,Retail,262.13,Online,France,2009-03-12,False
18066,Retail,757.14,Online,UK,2009-10-07,False
14221,Wholesale,804.67,Referral,UK,2009-09-15,False
18279,Retail,1174.53,Online,EIRE,2009-01-07,False
13450,Retail,614.12,Online,UK,2009-12-24,True
17087,Retail,529.77,Referral,Germany,2009-11-23,False
18194,Corporate,8067.01,Online,UK,2009-04-08,True
13125,Retail,355.43,Online,Netherlands,2009-12-28,False
13426,Corporate,4098.95,Direct Sales,UK,2009-08-22,False
13439,Retail,256.6,Online,France,2009-08-07,False
17629,Corporate,13193.43,Direct Sales,UK,2009-10-11,False
17111,Corporate,8871.59,Online,Netherlands,2009-08-15,False
17011,Corporate,7971.47,Online,EIRE,2009-12-07,False
13524,Retail,322.84,Online,UK,2009-08-25,False
16827,Retail,677.61,Online,France,2009-01-01,False
14389,Wholesale,858.22,Referral,UK,2009-04-03,False
13632,Retail,460.04,Direct Sales,UK,2009-11-04,False
14932,Retail,1000.15,Trade Show,UK,2009-11-02,False
16236,Retail,572.21,Online,UK,2009-11-23,False
13582,Retail,986.82,Direct Sales,EIRE,2009-05-28,False
14808,Wholesale,1198.51,Direct Sales,UK,2009-08-03,False
15758,Retail,231.98,Partner,UK,2009-12-27,False
15622,Corporate,12711.97,Direct Sales,EIRE,2009-08-02,False
13542,Corporate,14125.79,Referral,UK,2009-02-10,False
15398,Retail,894.66,Online,UK,2009-03-18,False
17127,Retail,1194.9,Referral,Unknown,2009-12-11,False
12560,Corporate,8067.01,Partner,UK,2009-08-21,True
13924,Retail,614.12,Partner,UK,2009-06-23,True
17666,Wholesale,1101.29,Trade Show,UK,2009-12-18,False
13566,Corporate,5286.89,Direct Sales,UK,2009-01-11,False
12359,Retail,600.26,Partner,Netherlands,2009-04-28,False
14880,Retail,734.3,Direct Sales,UK,2009-05-01,False
14467,Retail,366.53,Referral,UK,2009-07-16,False
16843,Retail,739.19,Partner,Germany,2009-01-19,False
13926,Wholesale,2638.66,Online,Germany,2009-07-10,False
16430,Retail,1125.7,Direct Sales,UK,2009-10-02,False
16235,Retail,161.34,Referral,UK,2009-05-16,False
15094,Retail,922.82,Direct Sales,UK,2009-09-15,False
15794,Corporate,11882.09,Online,UK,2009-04-15,False
15230,Retail,1001.23,Partner,UK,2009-04-16,False
15116,Corporate,4137.1,Direct Sales,UK,2009-02-24,False
13527,Wholesale,1962.37,Referral,France,2009-01-04,False
13380,Corporate,8067.01,Referral,France,2009-07-10,True
16648,Retail,944.6,Direct Sales,UK,2009-05-03,False
13955,Retail,479.65,Referral,UK,2009-12-18,False
13222,Wholesale,2754.17,Referral,UK,2009-10-19,False
17855,Corporate,5948.41,Referral,Germany,2009-04-30,False
14895,Retail,229.63,Online,Netherlands,2009-01-11,False
15895,Corporate,14080.39,Direct Sales,Unknown,2009-10-08,False
14480,Retail,525.54,Online,UK,2009-04-03,False
16197,Retail,639.25,Trade Show,UK,2009-09-22,False
14278,Retail,808.34,Partner,Germany,2009-06-21,False
14413,Retail,110.75,Referral,EIRE,2009-04-24,False
16708,Retail,179.08,Online,Germany,2009-12-01,False
13809,Wholesale,4738.36,Referral,EIRE,2009-05-25,False
17745,Retail,614.12,Referral,UK,2009-01-03,True
17510,Corporate,10675.57,Online,UK,2009-01-03,False
15139,Corporate,13671.35,Trade Show,UK,2009-12-24,False
13767,Wholesale,2322.75,Trade Show,UK,2009-06-03,False
16659,Wholesale,3549.41,Online,UK,2009-12-14,False
13555,Retail,656.73,Referral,UK,2009-06-02,False
14056,Retail,636.18,Direct Sales,UK,2009-11-13,False
17549,Retail,486.89,Trade Show,Germany,2009-01-08,False
14049,Corporate,13008.21,Online,France,2009-05-20,False
14988,Retail,183.78,Online,UK,2009-08-13,False
16441,Retail,332.69,Direct Sales,UK,2009-07-21,False
15705,Corporate,13152.56,Direct Sales,France,2009-04-21,False
17401,Retail,1191.76,Online,Unknown,2009-03-02,False
18190,Corporate,2560.3,Online,UK,2009-08-30,False
13949,Retail,421.34,Partner,Germany,2009-04-15,False
17422,Retail,508.25,Trade Show,Other Europe,2009-02-22,False
17741,Retail,704.26,Online,UK,2009-05-21,False
14399,Corporate,8308.0,Referral,UK,2009-08-22,False
17459,Corporate,14338.46,Online,UK,2009-01-23,False
15304,Retail,255.67,Online,Unknown,2009-05-07,False
14519,Retail,1196.49,Trade Show,UK,2009-03-09,False
16675,Retail,375.07,Referral,UK,2009-04-08,False
17964,Wholesale,1233.22,Referral,UK,2009-06-23,False
17746,Corporate,13776.85,Referral,Unknown,2009-03-18,False
17931,Retail,471.68,Online,UK,2009-01-25,False
15548,Corporate,11626.62,Referral,EIRE,2009-11-21,False
13630,Retail,567.4,Referral,UK,2009-04-19,False
13877,Retail,97.72,Online,UK,2009-06-06,False
13021,Corporate,5699.04,Online,UK,2009-05-16,False
13424,Wholesale,1990.73,Trade Show,UK,2009-12-31,False
14952,Retail,614.12,Partner,UK,2009-08-08,True
16115,Retail,1092.65,Online,UK,2009-12-18,False
17559,Retail,414.85,Trade Show,UK,2009-05-19,False
16465,Wholesale,3900.23,Partner,UK,2009-08-25,False
16103,Corporate,7028.49,Partner,UK,2009-11-13,False
14461,Retail,441.01,Referral,UK,2009-05-18,False
16524,Corporate,14680.33,Online,UK,2009-10-16,False
17592,Retail,993.8,Referral,UK,2009-01-16,False
17012,Retail,393.01,Direct Sales,EIRE,2009-06-12,False
16919,Wholesale,3610.02,Online,UK,2009-09-04,False
15587,Wholesale,4761.9,Direct Sales,EIRE,2009-02-23,False
15892,Corporate,11007.82,Online,UK,2009-12-25,False
14088,Retail,1181.14,Online,Germany,2009-10-18,False
17801,Corporate,3990.88,Online,France,2009-07-01,False
17642,Wholesale,3478.65,Online,UK,2009-03-15,False
17375,Retail,621.74,Referral,UK,2009-12-08,False
17689,Wholesale,4538.93,Partner,EIRE,2009-08-19,False
14269,Retail,778.26,Direct Sales,UK,2009-02-20,False
13536,Corporate,4197.75,Online,UK,2009-03-05,False
12540,Wholesale,2400.0,Online,France,2009-10-24,False
14478,Retail,130.62,Partner,EIRE,2009-07-09,False
16958,Retail,813.29,Online,France,2009-12-12,False
17169,Corporate,2776.91,Online,UK,2009-08-06,False
17323,Corporate,4675.33,Direct Sales,UK,2009-09-27,False
18226,Retail,320.69,Direct Sales,UK,2009-01-01,False
15277,Retail,813.36,Referral,Netherlands,2009-12-24,False
12349,Retail,64.83,Online,UK,2009-05-13,False
15996,Retail,223.07,Online,UK,2009-11-05,False
15133,Wholesale,1764.81,Online,UK,2009-09-20,False
15897,Retail,632.79,Referral,Unknown,2009-04-14,False
